model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
DBLP,-1,-1,4,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,491.154,198.676,2022-09-30.17:25:36
Flickr,2302926,22838276,4,4,1276.523014,100000,0,152.889111,106545,126332,9437937,1,1,11040,-1,-1,-1,2022-09-30.17:26:14
Flickr,2302926,22838276,4,4,1285.875283,0,100000,85.790406,106684,0,8109383,0,0,0,-1,-1,-1,2022-09-30.17:26:51
Flickr,-1,-1,4,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2409.95,511.596,2022-09-30.17:28:00
StackOverflow,2601978,28183518,4,4,2280.732395,100000,0,672.474937,101321,176087,40115197,10,11,47384,-1,-1,-1,2022-09-30.17:29:10
StackOverflow,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.17:32:10
StackOverflow,-1,-1,4,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,4747.87,809.8,2022-09-30.17:34:16
wiki-edits-sh,4579815,6265043,4,4,277.664512,100000,0,1326.130304,100532,117764,79058440,20,24,11894,-1,-1,-1,2022-09-30.17:34:25
wiki-edits-sh,4579815,6265043,4,4,273.124126,0,100000,1283.036773,100837,0,42808276,0,0,0,-1,-1,-1,2022-09-30.17:34:35
wiki-edits-sh,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.17:37:43
DBLP,1824702,8344615,8,4,930.423588,100000,0,49.232640,114210,143755,950403,0,0,16822,-1,-1,-1,2022-09-30.17:38:01
DBLP,1824702,8344615,8,4,944.615291,0,100000,40.257158,112027,0,614620,0,0,0,-1,-1,-1,2022-09-30.17:38:18
DBLP,-1,-1,8,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,408.737,229.569,2022-09-30.17:38:53
Flickr,2302926,22838276,8,4,1275.026069,100000,0,169.150674,107744,127362,8121820,1,1,11031,-1,-1,-1,2022-09-30.17:39:31
Flickr,2302926,22838276,8,4,1282.133467,0,100000,100.807007,107160,0,7421140,0,0,0,-1,-1,-1,2022-09-30.17:40:08
Flickr,-1,-1,8,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2825.89,500.199,2022-09-30.17:41:18
StackOverflow,2601978,28183518,8,4,2293.991374,100000,0,618.438300,100946,175423,35471931,11,11,47493,-1,-1,-1,2022-09-30.17:42:28
StackOverflow,2601978,28183518,8,4,2291.079961,0,100000,273.834140,98113,0,20965541,0,0,0,-1,-1,-1,2022-09-30.17:43:37
StackOverflow,-1,-1,8,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,4977.19,853.203,2022-09-30.17:45:42
wiki-edits-sh,4579815,6265043,8,4,276.610620,100000,0,1591.707112,99373,116994,83506848,40,43,12474,-1,-1,-1,2022-09-30.17:45:53
wiki-edits-sh,4579815,6265043,8,4,278.391965,0,100000,1275.153106,100537,0,52031929,0,0,0,-1,-1,-1,2022-09-30.17:46:03
wiki-edits-sh,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.17:49:11
DBLP,1824702,8344615,16,4,937.411432,100000,0,60.286317,113479,142495,905801,0,0,16690,-1,-1,-1,2022-09-30.17:49:29
DBLP,1824702,8344615,16,4,941.886318,0,100000,53.282250,113862,0,629826,0,0,0,-1,-1,-1,2022-09-30.17:49:46
DBLP,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,359.627,265.851,2022-09-30.17:50:21
Flickr,2302926,22838276,16,4,1274.851838,100000,0,195.556576,108057,126936,7629095,1,1,10855,-1,-1,-1,2022-09-30.17:50:59
Flickr,2302926,22838276,16,4,1284.640411,0,100000,107.776197,107112,0,7126931,0,0,0,-1,-1,-1,2022-09-30.17:51:36
Flickr,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2818.91,547.782,2022-09-30.17:52:46
StackOverflow,2601978,28183518,16,4,2331.796968,100000,0,593.339989,100842,175246,28509550,8,8,47386,-1,-1,-1,2022-09-30.17:53:56
StackOverflow,2601978,28183518,16,4,2287.560837,0,100000,284.036816,96981,0,17928232,0,0,0,-1,-1,-1,2022-09-30.17:55:04
StackOverflow,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,5099.36,958.239,2022-09-30.17:57:10
wiki-edits-sh,4579815,6265043,16,4,276.669245,100000,0,1572.576029,98249,115897,74176616,28,30,12451,-1,-1,-1,2022-09-30.17:57:21
wiki-edits-sh,4579815,6265043,16,4,280.208478,0,100000,1258.047986,100521,0,45909847,0,0,0,-1,-1,-1,2022-09-30.17:57:31
wiki-edits-sh,-1,-1,16,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.18:00:38
DBLP,1824702,8344615,32,4,939.993778,100000,0,75.150687,113897,142690,904071,0,0,16551,-1,-1,-1,2022-09-30.18:00:57
DBLP,1824702,8344615,32,4,952.623894,0,100000,66.651076,113701,0,638687,0,0,0,-1,-1,-1,2022-09-30.18:01:14
DBLP,-1,-1,32,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,343.619,232.427,2022-09-30.18:01:49
Flickr,2302926,22838276,32,4,1277.113038,100000,0,228.914327,108514,125871,7221262,1,1,10710,-1,-1,-1,2022-09-30.18:02:28
Flickr,2302926,22838276,32,4,1287.196707,0,100000,116.768887,106778,0,6519529,0,0,0,-1,-1,-1,2022-09-30.18:03:05
Flickr,-1,-1,32,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2797.29,548.77,2022-09-30.18:04:15
StackOverflow,2601978,28183518,32,4,2337.605694,100000,0,643.309924,100777,174345,23893896,7,7,46885,-1,-1,-1,2022-09-30.18:05:24
StackOverflow,2601978,28183518,32,4,2293.459446,0,100000,247.743845,96007,0,16135256,0,0,0,-1,-1,-1,2022-09-30.18:06:33
StackOverflow,-1,-1,32,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,5201.81,987.651,2022-09-30.18:08:39
wiki-edits-sh,4579815,6265043,32,4,276.575826,100000,0,1677.367824,98252,116121,84205770,30,35,12631,-1,-1,-1,2022-09-30.18:08:49
wiki-edits-sh,-1,-1,32,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.18:11:50
wiki-edits-sh,-1,-1,32,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.18:14:58
DBLP,1824702,8344615,64,4,938.031462,100000,0,122.425444,115036,144049,943595,0,0,16548,-1,-1,-1,2022-09-30.18:15:16
DBLP,1824702,8344615,64,4,946.839834,0,100000,77.829675,114636,0,644400,0,0,0,-1,-1,-1,2022-09-30.18:15:34
DBLP,-1,-1,64,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,351.33,255.162,2022-09-30.18:16:09
Flickr,2302926,22838276,64,4,1276.562338,100000,0,306.546749,108446,123631,7501452,1,1,11005,-1,-1,-1,2022-09-30.18:16:47
Flickr,2302926,22838276,64,4,1287.849357,0,100000,132.704180,107471,0,7052821,0,0,0,-1,-1,-1,2022-09-30.18:17:25
Flickr,-1,-1,64,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2861.29,531.743,2022-09-30.18:18:35
StackOverflow,2601978,28183518,64,4,2323.688624,100000,0,750.166244,100937,174092,20478368,9,9,46770,-1,-1,-1,2022-09-30.18:19:46
StackOverflow,2601978,28183518,64,4,2288.638966,0,100000,290.977399,95939,0,15065137,0,0,0,-1,-1,-1,2022-09-30.18:20:54
StackOverflow,-1,-1,64,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,5249.32,925.511,2022-09-30.18:23:01
wiki-edits-sh,4579815,6265043,64,4,276.631026,100000,0,1669.868799,98421,115814,73399386,25,25,12131,-1,-1,-1,2022-09-30.18:23:11
wiki-edits-sh,-1,-1,64,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.18:26:11
wiki-edits-sh,-1,-1,64,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.18:29:19
DBLP,1824702,8344615,0,4,949.502531,100000,0,76.287774,118187,148070,1159137,0,0,16716,-1,-1,-1,2022-09-30.18:29:37
DBLP,1824702,8344615,0,4,952.024034,0,100000,52.619557,118187,0,656630,0,0,0,-1,-1,-1,2022-09-30.18:29:55
DBLP,-1,-1,0,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,860.412,140.602,2022-09-30.18:30:30
Flickr,2302926,22838276,0,4,1279.979023,100000,0,238.107446,110044,130351,10818444,1,1,11089,-1,-1,-1,2022-09-30.18:31:08
Flickr,2302926,22838276,0,4,1285.973112,0,100000,168.799777,110044,0,8642827,0,0,0,-1,-1,-1,2022-09-30.18:31:45
Flickr,-1,-1,0,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2765.91,373.42,2022-09-30.18:32:55
StackOverflow,2601978,28183518,0,4,2284.886816,100000,0,1569.211222,101477,176306,43483076,9,10,47318,-1,-1,-1,2022-09-30.18:34:06
StackOverflow,2601978,28183518,0,4,2286.879174,0,100000,837.804971,101477,0,24803420,0,0,0,-1,-1,-1,2022-09-30.18:35:15
StackOverflow,-1,-1,0,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,6838,855.651,2022-09-30.18:37:23
wiki-edits-sh,4579815,6265043,0,4,274.063512,100000,0,1757.565497,100867,116956,78568581,2,2,10631,-1,-1,-1,2022-09-30.18:37:33
wiki-edits-sh,4579815,6265043,0,4,272.091187,0,100000,1893.579824,100867,0,43642478,0,0,0,-1,-1,-1,2022-09-30.18:37:44
wiki-edits-sh,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.18:40:52
DBLP,1824702,8344615,1,4,935.377071,100000,0,78.569916,118187,148070,1159137,0,0,16716,-1,-1,-1,2022-09-30.18:41:09
DBLP,1824702,8344615,1,4,950.303824,0,100000,53.998320,118187,0,656630,0,0,0,-1,-1,-1,2022-09-30.18:41:27
DBLP,-1,-1,1,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,856.112,149.512,2022-09-30.18:42:02
Flickr,2302926,22838276,1,4,1275.379754,100000,0,243.320600,110044,130351,10818444,1,1,11089,-1,-1,-1,2022-09-30.18:42:40
Flickr,2302926,22838276,1,4,1291.924310,0,100000,173.575149,110044,0,8642827,0,0,0,-1,-1,-1,2022-09-30.18:43:17
Flickr,-1,-1,1,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2801.32,396.756,2022-09-30.18:44:27
StackOverflow,2601978,28183518,1,4,2291.482330,100000,0,1651.811118,101477,176306,43483076,9,10,47318,-1,-1,-1,2022-09-30.18:45:38
StackOverflow,2601978,28183518,1,4,2285.828711,0,100000,869.879752,101477,0,24803420,0,0,0,-1,-1,-1,2022-09-30.18:46:47
StackOverflow,-1,-1,1,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,6994.42,875.393,2022-09-30.18:48:54
wiki-edits-sh,4579815,6265043,1,4,279.083510,100000,0,1776.925465,100867,116956,78568581,2,2,10631,-1,-1,-1,2022-09-30.18:49:05
wiki-edits-sh,4579815,6265043,1,4,278.576515,0,100000,1801.187507,100867,0,43642478,0,0,0,-1,-1,-1,2022-09-30.18:49:15
wiki-edits-sh,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.18:52:23
DBLP,1824702,8344615,2,4,940.620461,100000,0,52.527115,116747,146377,1121918,0,0,16749,-1,-1,-1,2022-09-30.18:52:41
DBLP,1824702,8344615,2,4,951.438621,0,100000,36.038413,115463,0,645762,0,0,0,-1,-1,-1,2022-09-30.18:52:58
DBLP,-1,-1,2,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,634.103,164.26,2022-09-30.18:53:33
Flickr,2302926,22838276,2,4,1276.608838,100000,0,178.917258,108464,128453,10367923,1,1,11040,-1,-1,-1,2022-09-30.18:54:11
Flickr,2302926,22838276,2,4,1290.338410,0,100000,110.711050,108612,0,8478098,0,0,0,-1,-1,-1,2022-09-30.18:54:49
Flickr,-1,-1,2,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2232.04,465.859,2022-09-30.18:55:58
StackOverflow,2601978,28183518,2,4,2296.830715,100000,0,1009.708939,101407,176191,42369951,10,11,47310,-1,-1,-1,2022-09-30.18:57:08
StackOverflow,2601978,28183518,2,4,2287.369227,0,100000,537.650673,101224,0,24314740,0,0,0,-1,-1,-1,2022-09-30.18:58:17
StackOverflow,-1,-1,2,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,5014.78,833.104,2022-09-30.19:00:23
wiki-edits-sh,4579815,6265043,2,4,276.548132,100000,0,1483.303739,100695,117324,77333956,7,7,11187,-1,-1,-1,2022-09-30.19:00:33
wiki-edits-sh,4579815,6265043,2,4,272.779255,0,100000,1503.509281,100835,0,47303964,0,0,0,-1,-1,-1,2022-09-30.19:00:43
wiki-edits-sh,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.19:03:51
DBLP,1824702,8344615,4,4,939.770111,100000,0,38.214557,114811,144097,1025129,0,0,16757,-1,-1,-1,2022-09-30.19:04:09
DBLP,1824702,8344615,4,4,947.845970,0,100000,25.059624,111763,0,612754,0,0,0,-1,-1,-1,2022-09-30.19:04:26
DBLP,-1,-1,4,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,512.201,197.544,2022-09-30.19:05:01
Flickr,2302926,22838276,4,4,1272.603482,100000,0,154.846425,106804,126532,9423199,1,1,11036,-1,-1,-1,2022-09-30.19:05:39
Flickr,2302926,22838276,4,4,1287.166849,0,100000,86.349743,106455,0,8096577,0,0,0,-1,-1,-1,2022-09-30.19:06:16
Flickr,-1,-1,4,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2444.8,452.473,2022-09-30.19:07:26
StackOverflow,2601978,28183518,4,4,2282.152773,100000,0,714.040461,101354,176237,40343014,10,11,47462,-1,-1,-1,2022-09-30.19:08:36
StackOverflow,2601978,28183518,4,4,2285.800685,0,100000,356.458665,100833,0,23223427,0,0,0,-1,-1,-1,2022-09-30.19:09:44
