model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
rmat-1m-8m,999760,7810950,1,3,380.973893,100000,0,263.362056,99503,133417,28866258,632690,-1,-1,2021-09-28.00:06:38
rmat-1m-8m,999760,7810950,1,13,381.484236,100000,0,258.018953,99503,117942,23441922,109649,9,-1,2021-09-28.00:12:44
rmat-1m-8m,999760,7810950,1,2,415.197632,100000,0,342.616039,99503,119821,28592004,0,-1,-1,2021-09-28.00:49:29
rmat-1m-8m,999760,7810950,1,3,382.983058,0,100000,362.07846,99503,0,20375246,99503,-1,-1,2021-09-28.00:55:56
rmat-1m-8m,999760,7810950,1,2,421.606292,0,100000,352.39756,99503,0,40750492,0,-1,-1,2021-09-28.01:02:43
rmat-1m-8m,999760,7810950,1,3,378.152486,100000,0,262.509637,99503,133417,28866258,632690,-1,-1,2021-09-28.01:09:09
rmat-1m-8m,999760,7810950,1,13,380.365141,100000,0,258.8221,99503,117942,23441922,109649,9,-1,2021-09-28.01:15:14
rmat-1m-8m,999760,7810950,1,2,415.383747,100000,0,338.403485,99503,119821,28592004,0,-1,-1,2021-09-28.01:52:00
rmat-1m-8m,999760,7810950,1,3,382.291641,0,100000,365.234917,99503,0,20375246,99503,-1,-1,2021-09-28.01:58:26
rmat-1m-8m,999760,7810950,1,2,421.028746,0,100000,351.96276,99503,0,40750492,0,-1,-1,2021-09-28.02:05:13
rmat-1m-8m,999760,7810950,1,3,378.78707,100000,0,265.309139,99503,133417,28866258,632690,-1,-1,2021-09-28.02:11:39
rmat-1m-8m,999760,7810950,1,13,379.263578,100000,0,258.222542,99503,117942,23441922,109649,9,-1,2021-09-28.02:17:45
rmat-1m-8m,999760,7810950,1,2,416.558512,100000,0,340.372115,99503,119821,28592004,0,-1,-1,2021-09-28.02:54:30
rmat-1m-8m,999760,7810950,1,3,389.256524,0,100000,361.513648,99503,0,20375246,99503,-1,-1,2021-09-28.03:00:56
rmat-1m-8m,999760,7810950,1,2,420.719566,0,100000,353.36722,99503,0,40750492,0,-1,-1,2021-09-28.03:07:44
rmat-1m-8m,999760,7810950,1,3,380.549014,100000,0,263.896954,99503,133417,28866258,632690,-1,-1,2021-09-28.03:14:10
rmat-1m-8m,999760,7810950,1,13,380.250186,100000,0,258.953757,99503,117942,23441922,109649,9,-1,2021-09-28.03:20:15
rmat-1m-8m,999760,7810950,1,2,416.274881,100000,0,352.029088,99503,119821,28592004,0,-1,-1,2021-09-28.03:57:01
rmat-1m-8m,999760,7810950,1,3,385.05098,0,100000,361.353737,99503,0,20375246,99503,-1,-1,2021-09-28.04:03:28
rmat-1m-8m,999760,7810950,1,2,419.342902,0,100000,353.154986,99503,0,40750492,0,-1,-1,2021-09-28.04:10:15
rmat-1m-8m,999760,7810950,1,3,381.2693,100000,0,262.771563,99503,133417,28866258,632690,-1,-1,2021-09-28.04:16:41
rmat-1m-8m,999760,7810950,1,13,381.913624,100000,0,259.809292,99503,117942,23441922,109649,9,-1,2021-09-28.04:22:46
rmat-1m-8m,999760,7810950,1,2,413.210251,100000,0,340.957525,99503,119821,28592004,0,-1,-1,2021-09-28.04:59:32
rmat-1m-8m,999760,7810950,1,3,383.472031,0,100000,362.213817,99503,0,20375246,99503,-1,-1,2021-09-28.05:05:58
rmat-1m-8m,999760,7810950,1,2,419.904688,0,100000,353.884142,99503,0,40750492,0,-1,-1,2021-09-28.05:12:45
