model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
ba-1m-8m,1000000,7999964,1,2,780.944279,100000,0,1795.283411,22026,111982,1867183,0,-1,2021-08-11.09:40:50
baidu,2141301,17794839,1,2,1660.098705,100000,0,455.166044,98661,119851,10094501,0,-1,2021-08-11.09:41:26
dbpedia,3966925,13820853,1,2,2216.807236,100000,0,396.054213,100459,116642,1563538,0,-1,2021-08-11.09:41:54
er-1m-8m,1000000,8000000,1,2,982.735620,100000,0,664.724881,39160,55056,663093,0,-1,2021-08-11.09:42:29
livej,4847571,68993773,1,2,5891.511183,100000,0,632.433736,111031,138952,10614295,0,-1,2021-08-11.09:43:58
patent,6009555,16518948,1,2,3803.221713,100000,0,1188.830046,107320,157728,2428114,0,-1,2021-08-11.09:44:57
pokec,1632804,30622564,1,2,2521.611336,100000,0,646.508142,86364,125741,6029277,0,-1,2021-08-11.09:45:41
rmat-1m-8m,999760,7810950,1,2,580.883326,100000,0,499.911173,100728,120522,30720438,0,-1,2021-08-11.09:45:48
ssca2,1048577,157877986,1,2,1438.538645,100000,0,2543.926664,1585743,1646454,125214017,0,-1,2021-08-11.09:47:33
wiki-links,5710993,130160392,1,2,10409.581278,100000,0,1670.393824,187006,204056,58671850,0,-1,2021-08-11.09:50:46
wikitalk,2394385,5021410,1,2,796.776425,100000,0,334.356418,99889,105179,12686578,0,-1,2021-08-11.09:50:53
wiki_talk_en,2987536,24981163,1,2,1263.891315,100000,0,473.263942,99963,105651,20947020,0,-1,2021-08-11.09:51:05
ba-1m-8m,1000000,7999964,1,3,897.946735,100000,0,300.938477,22060,166565,1834697,377035,-1,2021-08-11.09:51:16
baidu,2141301,17794839,1,3,1800.199509,100000,0,270.920220,98153,132214,10026481,811426,-1,2021-08-11.09:51:51
dbpedia,3966925,13820853,1,3,2056.698679,100000,0,160.058869,101667,128336,1768019,1126843,-1,2021-08-11.09:53:05
er-1m-8m,1000000,8000000,1,3,1215.668988,100000,0,100.123302,38515,65956,651921,423158,-1,2021-08-11.09:53:19
livej,4847571,68993773,1,3,5483.078912,100000,0,476.052632,114089,160877,11321931,781379,-1,2021-08-11.09:54:30
patent,6009555,16518948,1,3,3958.483181,100000,0,273.318531,106751,182758,2436886,1012161,-1,2021-08-11.09:56:36
pokec,1632804,30622564,1,3,2368.130420,100000,0,276.363700,87358,149085,6215366,732222,-1,2021-08-11.09:57:11
rmat-1m-8m,999760,7810950,1,3,539.244738,100000,0,401.649715,99541,133330,28772667,639439,-1,2021-08-11.09:57:21
ssca2,1048577,157877986,1,3,2019.530956,100000,0,11351.605554,1588549,1677070,125796197,11890341,-1,2021-08-11.09:58:47
wiki-links,5710993,130160392,1,3,11174.757442,100000,0,5542.416460,186817,215969,57133798,756129,-1,2021-08-11.10:02:08
wikitalk,2394385,5021410,1,3,605.562752,100000,0,339.093235,100654,109757,15177579,1087712,-1,2021-08-11.10:02:36
wiki_talk_en,2987536,24981163,1,3,882.092566,100000,0,432.536275,99892,109179,20730679,951915,-1,2021-08-11.10:03:28
ba-1m-8m,1000000,7999964,1,2,767.196353,0,100000,356.430152,21980,0,154194,0,-1,2021-08-11.10:03:55
baidu,2141301,17794839,1,2,1684.243563,0,100000,440.545730,98721,0,6039952,0,-1,2021-08-11.10:04:30
dbpedia,3966925,13820853,1,2,2222.028278,0,100000,908.948590,100489,0,1012136,0,-1,2021-08-11.10:05:03
er-1m-8m,1000000,8000000,1,2,1086.293847,0,100000,494.986689,39072,0,429727,0,-1,2021-08-11.10:05:35
livej,4847571,68993773,1,2,5070.834428,0,100000,432.465079,111327,0,8525545,0,-1,2021-08-11.10:06:50
patent,6009555,16518948,1,2,3754.591079,0,100000,549.876711,105939,0,1502416,0,-1,2021-08-11.10:07:48
pokec,1632804,30622564,1,2,2306.445021,0,100000,427.183517,85986,0,3448339,0,-1,2021-08-11.10:08:29
rmat-1m-8m,999760,7810950,1,2,558.237831,0,100000,428.478489,100447,0,22726885,0,-1,2021-08-11.10:08:35
ssca2,1048577,157877986,1,2,1384.746930,0,100000,2067.970126,1595793,0,120742513,0,-1,2021-08-11.10:10:05
wiki-links,5710993,130160392,1,2,9297.571941,0,100000,1315.282940,186777,0,48811644,0,-1,2021-08-11.10:13:06
wikitalk,2394385,5021410,1,2,758.419535,0,100000,555.877115,100663,0,11117238,0,-1,2021-08-11.10:13:12
wiki_talk_en,2987536,24981163,1,2,1309.754016,0,100000,862.440286,101038,0,20840456,0,-1,2021-08-11.10:13:22
ba-1m-8m,1000000,7999964,1,3,833.639316,0,100000,44.240240,21884,0,153591,21884,-1,2021-08-11.10:13:38
baidu,2141301,17794839,1,3,1699.732046,0,100000,296.663934,98594,0,5896979,98594,-1,2021-08-11.10:14:10
dbpedia,3966925,13820853,1,3,1966.091645,0,100000,790.167632,100931,0,906046,100931,-1,2021-08-11.10:15:14
er-1m-8m,1000000,8000000,1,3,1262.979848,0,100000,50.615152,39268,0,431183,39268,-1,2021-08-11.10:15:26
livej,4847571,68993773,1,3,5593.636254,0,100000,237.648700,113874,0,8522041,113874,-1,2021-08-11.10:16:31
patent,6009555,16518948,1,3,3693.336690,0,100000,100.738180,106119,0,1466174,106119,-1,2021-08-11.10:17:12
pokec,1632804,30622564,1,3,2487.763872,0,100000,147.729005,84693,0,3238415,84693,-1,2021-08-11.10:17:45
rmat-1m-8m,999760,7810950,1,3,510.337920,0,100000,449.321467,99645,0,20488582,99645,-1,2021-08-11.10:17:50
ssca2,1048577,157877986,1,3,2076.039007,0,100000,1270.568999,1592207,0,120462125,1592207,-1,2021-08-11.10:19:05
wiki-links,5710993,130160392,1,3,10305.037725,0,100000,1211.164190,191554,0,52150107,191554,-1,2021-08-11.10:21:50
wikitalk,2394385,5021410,1,3,603.900580,0,100000,388.420465,100026,0,9481440,100026,-1,2021-08-11.10:22:08
wiki_talk_en,2987536,24981163,1,3,834.495550,0,100000,31811.282805,100148,0,17278225,100148,-1,2021-08-11.10:22:48
ba-1m-8m,1000000,7999964,1,2,784.876197,100000,0,1883.339601,21939,111534,1861241,0,-1,2021-08-11.10:23:16
baidu,2141301,17794839,1,2,1724.363016,100000,0,438.463541,98448,119283,9889648,0,-1,2021-08-11.10:23:51
dbpedia,3966925,13820853,1,2,2198.664835,100000,0,382.419656,101316,117891,1689961,0,-1,2021-08-11.10:24:26
er-1m-8m,1000000,8000000,1,2,1029.044770,100000,0,692.413498,39455,55058,662466,0,-1,2021-08-11.10:24:58
livej,4847571,68993773,1,2,5187.189463,100000,0,649.982876,114496,141691,12027315,0,-1,2021-08-11.10:26:13
patent,6009555,16518948,1,2,3591.696099,100000,0,1383.104079,106958,156481,2413778,0,-1,2021-08-11.10:27:10
pokec,1632804,30622564,1,2,2211.920572,100000,0,692.320197,85592,126770,6063829,0,-1,2021-08-11.10:27:50
rmat-1m-8m,999760,7810950,1,2,549.144416,100000,0,381.481846,100435,120350,30621420,0,-1,2021-08-11.10:27:56
