I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,3,21,0,0,1950.591446,614.813580,788.082115,2467.571831,161064,12254896,0,80532,0,0
10000000,3,21,0,1,1974.121695,716.035588,799.448105,3372.227873,161064,12254896,0,80532,0,0
10000000,3,21,0,2,1051.376762,361.436280,410.707221,1799.672420,161064,12254896,0,80532,0,0
10000000,3,21,0,4,548.459669,185.475833,217.425580,938.919182,161064,12254896,0,80532,0,0
10000000,3,21,0,8,351.458944,97.067630,126.760425,610.404718,161064,12254896,0,80532,0,0
10000000,3,21,0,16,303.807242,48.784061,68.268694,492.661828,161064,12254896,0,80532,0,0
10000000,3,21,0,24,314.008575,35.273894,59.636778,476.486183,161064,12254896,0,80532,0,0
10000000,3,21,0,32,300.920236,24.849464,46.873572,470.322372,161064,12254896,0,80532,0,0
10000000,3,21,0,40,340.588894,22.239117,45.154602,480.498623,161064,12254896,0,80532,0,0
10000000,3,21,0,48,347.794292,21.584980,44.719194,495.808167,161064,12254896,0,80532,0,0
10000000,3,21,0,56,317.218222,24.908057,45.484916,494.758286,161064,12254896,0,80532,0,0
10000000,3,21,0,64,318.881503,24.691009,46.004967,485.883743,161064,12254896,0,80532,0,0
10000000,3,21,0,0,1973.294005,613.430806,794.566698,2460.848294,161064,12254896,0,80532,0,0
10000000,3,22,0,0,573.365114,48.591700,409.458376,390.802436,5756332,19985024,0,356608,0,0
10000000,3,23,0,0,1140.872033,36.830943,134.784616,358.968280,99024410,19999976,0,357142,0,0
10000000,3,21,1,0,2111.583901,612.891118,1112.966930,2449.597574,161064,12254896,0,80532,0,0
10000000,3,22,1,0,763.081699,48.730457,576.549051,391.104326,5756332,19985024,0,356608,0,0
10000000,3,23,1,0,1627.271823,37.529054,284.785998,376.399851,99024410,19999976,0,357142,0,0
10000000,3,21,0,1,1991.315154,718.965324,803.063057,3339.394285,161064,12254896,0,80532,0,0
10000000,3,22,0,1,576.807575,51.156518,419.677878,989.448765,5756332,19985024,0,356608,0,0
10000000,3,23,0,1,1148.816798,36.775773,135.855617,1491.524677,99024410,19999976,0,357142,0,0
10000000,3,21,1,1,2163.977568,729.142744,1076.290877,3481.127445,161064,12254896,0,80532,0,0
10000000,3,22,1,1,766.847124,50.164089,588.158451,1261.708113,5756332,19985024,0,356608,0,0
10000000,3,23,1,1,1656.752279,36.762863,295.701184,1977.626945,99024410,19999976,0,357142,0,0
10000000,3,21,0,2,1062.439918,364.882095,409.691503,1817.504013,161064,12254896,0,80532,0,0
10000000,3,22,0,2,405.876976,25.617201,221.850067,644.585454,5756332,19985024,0,356608,0,0
10000000,3,23,0,2,1811.786511,18.213515,74.295580,2197.683460,99024410,19999976,0,357142,0,0
10000000,3,21,0,0,1968.074246,614.672888,787.869092,2491.487444,161064,12254896,0,80532,0,0
10000000,3,22,0,0,567.902022,48.765953,413.708465,394.236427,5756332,19985024,0,356608,0,0
10000000,3,23,0,0,1146.868639,36.310507,131.929753,357.189602,99024410,19999976,0,357142,0,0
10000000,3,21,1,0,2099.974479,613.983141,1110.199536,2495.508880,161064,12254896,0,80532,0,0
10000000,3,22,1,0,767.519969,48.725573,584.035634,394.039368,5756332,19985024,0,356608,0,0
10000000,3,23,1,0,1622.555430,36.508035,279.062876,354.030569,99024410,19999976,0,357142,0,0
10000000,3,21,0,1,1982.725013,711.548594,799.848382,3342.339457,161064,12254896,0,80532,0,0
10000000,3,22,0,1,573.778699,50.150362,418.593154,977.151184,5756332,19985024,0,356608,0,0
10000000,3,23,0,1,1206.883378,35.880550,132.290795,1522.213621,99024410,19999976,0,357142,0,0
10000000,3,21,1,1,2099.329970,712.325983,1070.336407,3474.813904,161064,12254896,0,80532,0,0
10000000,3,22,1,1,764.729747,49.865713,588.224222,1247.959010,5756332,19985024,0,356608,0,0
10000000,3,23,1,1,1614.946594,36.986707,286.053829,1950.938505,99024410,19999976,0,357142,0,0
10000000,3,21,0,2,1044.683603,361.647202,409.797143,1803.690026,161064,12254896,0,80532,0,0
10000000,3,22,0,2,400.283010,24.981479,217.365707,653.178305,5756332,19985024,0,356608,0,0
10000000,3,23,0,2,1792.427180,18.018500,73.425662,2107.056859,99024410,19999976,0,357142,0,0
10000000,3,21,1,2,1133.699041,363.850660,544.631687,1860.886456,161064,12254896,0,80532,0,0
10000000,3,22,1,2,503.369305,25.173847,283.428038,777.199554,5756332,19985024,0,356608,0,0
10000000,3,23,1,2,2315.782680,17.982698,230.302419,2823.459758,99024410,19999976,0,357142,0,0
10000000,3,21,0,4,539.685480,181.720129,215.432002,938.409060,161064,12254896,0,80532,0,0
10000000,3,22,0,4,289.641760,12.734260,114.117747,399.489011,5756332,19985024,0,356608,0,0
