model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
ba-1m-8m,1000000,7999964,1,2,649.818358,100000,0,1257.603795,22154,111656,1880269,0,-1,2021-09-13.14:57:23
baidu,2141301,17794839,1,2,1360.110066,100000,0,388.776535,98716,119960,9871937,0,-1,2021-09-13.14:57:49
dbpedia,3966925,13820853,1,2,1642.824632,100000,0,333.123274,101617,118466,1835990,0,-1,2021-09-13.14:58:09
er-1m-8m,1000000,8000000,1,2,1102.813409,100000,0,345.979402,39172,54807,659551,0,-1,2021-09-13.14:58:28
livej,4847571,68993773,1,2,4731.100576,100000,0,519.067846,115219,142847,11612076,0,-1,2021-09-13.14:59:26
patent,6009555,16518948,1,2,3435.251572,100000,0,678.932406,107303,156700,2393726,0,-1,2021-09-13.15:00:07
pokec,1632804,30622564,1,2,1780.661899,100000,0,528.159214,84874,125451,5951446,0,-1,2021-09-13.15:00:36
rmat-1m-8m,999760,7810950,1,2,418.385018,100000,0,338.208287,99299,119309,28219210,0,-1,2021-09-13.15:00:42
ssca2,1048577,157877986,1,2,1225.894651,100000,0,2186.977496,1597520,1657475,125813457,0,-1,2021-09-13.15:01:47
wiki-links,5710993,130160392,1,2,9293.797628,100000,0,1048.570720,187525,203873,56010390,0,-1,2021-09-13.15:04:11
wikitalk,2394385,5021410,1,2,538.002081,100000,0,300.148889,100511,105841,14393600,0,-1,2021-09-13.15:04:15
wiki_talk_en,2987536,24981163,1,2,758.769771,100000,0,464.939212,101215,107201,25980827,0,-1,2021-09-13.15:04:23
ba-1m-8m,1000000,7999964,1,3,764.898576,100000,0,163.930389,-33166,167111,1874925,363854,-1,2021-09-13.15:04:30
baidu,2141301,17794839,1,3,1342.888711,100000,0,213.012324,85605,133322,10076475,814565,-1,2021-09-13.15:04:55
dbpedia,3966925,13820853,1,3,1633.969888,100000,0,132.061517,91025,128196,1754484,1126715,-1,2021-09-13.15:05:11
er-1m-8m,1000000,8000000,1,3,1262.193710,100000,0,87.176958,27717,66369,659173,438208,-1,2021-09-13.15:05:21
livej,4847571,68993773,1,3,4862.586415,100000,0,254.848091,96093,160783,11552251,790651,-1,2021-09-13.15:06:12
patent,6009555,16518948,1,3,3590.316555,100000,0,196.148731,80929,181628,2383931,988772,-1,2021-09-13.15:06:46
pokec,1632804,30622564,1,3,1875.514492,100000,0,198.166870,64445,147934,6077752,725141,-1,2021-09-13.15:07:11
rmat-1m-8m,999760,7810950,1,3,397.238634,100000,0,263.573429,86627,132537,28271792,634972,-1,2021-09-13.15:07:16
ssca2,1048577,157877986,1,3,2136.738587,100000,0,2365.303637,1529527,1684929,126289421,11922802,-1,2021-09-13.15:08:15
wiki-links,5710993,130160392,1,3,9890.310428,100000,0,814.535503,178736,217447,59525564,763787,-1,2021-09-13.15:10:31
wikitalk,2394385,5021410,1,3,464.527848,100000,0,210.922022,96267,108688,13176460,1088388,-1,2021-09-13.15:10:34
wiki_talk_en,2987536,24981163,1,3,681.115893,100000,0,342.432273,97514,111040,26056521,945883,-1,2021-09-13.15:10:41
ba-1m-8m,1000000,7999964,1,2,635.331846,0,100000,259.534105,22070,0,309592,0,-1,2021-09-13.15:10:57
baidu,2141301,17794839,1,2,1360.281414,0,100000,384.772111,98674,0,12061400,0,-1,2021-09-13.15:11:24
dbpedia,3966925,13820853,1,2,1635.338598,0,100000,838.525890,101084,0,2197526,0,-1,2021-09-13.15:11:44
er-1m-8m,1000000,8000000,1,2,1098.105588,0,100000,390.543751,39791,0,876184,0,-1,2021-09-13.15:12:02
livej,4847571,68993773,1,2,4748.678974,0,100000,355.398446,111128,0,15981386,0,-1,2021-09-13.15:13:00
patent,6009555,16518948,1,2,3422.913427,0,100000,373.699560,106434,0,2957134,0,-1,2021-09-13.15:13:41
pokec,1632804,30622564,1,2,1883.933497,0,100000,358.558382,85380,0,6683182,0,-1,2021-09-13.15:14:10
rmat-1m-8m,999760,7810950,1,2,441.396707,0,100000,351.829573,99340,0,40427638,0,-1,2021-09-13.15:14:16
ssca2,1048577,157877986,1,2,1208.681107,0,100000,1778.997284,1596250,0,242192914,0,-1,2021-09-13.15:15:22
wiki-links,5710993,130160392,1,2,9277.812313,0,100000,1097.245169,188488,0,101111142,0,-1,2021-09-13.15:17:45
wikitalk,2394385,5021410,1,2,537.362109,0,100000,391.737218,100567,0,22312914,0,-1,2021-09-13.15:17:50
wiki_talk_en,2987536,24981163,1,2,759.074783,0,100000,699.824831,100111,0,34500440,0,-1,2021-09-13.15:17:58
ba-1m-8m,1000000,7999964,1,3,757.477674,0,100000,35.231877,22267,0,156136,22267,-1,2021-09-13.15:18:05
baidu,2141301,17794839,1,3,1347.003622,0,100000,241.829989,98276,0,5910738,98276,-1,2021-09-13.15:18:30
dbpedia,3966925,13820853,1,3,1636.228683,0,100000,570.542755,101129,0,1071919,101129,-1,2021-09-13.15:18:47
er-1m-8m,1000000,8000000,1,3,1272.233379,0,100000,39.884621,39530,0,434758,39530,-1,2021-09-13.15:18:56
livej,4847571,68993773,1,3,4837.393019,0,100000,194.300240,114279,0,8743502,114279,-1,2021-09-13.15:19:48
patent,6009555,16518948,1,3,3585.536413,0,100000,84.318682,106782,0,1472029,106782,-1,2021-09-13.15:20:21
pokec,1632804,30622564,1,3,1895.505953,0,100000,119.403281,85227,0,3397521,85227,-1,2021-09-13.15:20:46
rmat-1m-8m,999760,7810950,1,3,399.891165,0,100000,368.451769,99462,0,20587451,99462,-1,2021-09-13.15:20:51
ssca2,1048577,157877986,1,3,2139.050218,0,100000,1067.066333,1588185,0,120231132,1588185,-1,2021-09-13.15:21:49
wiki-links,5710993,130160392,1,3,9864.728089,0,100000,1040.720166,188410,0,51549603,188410,-1,2021-09-13.15:24:04
wikitalk,2394385,5021410,1,3,467.281699,0,100000,342.497530,100638,0,11085502,100638,-1,2021-09-13.15:24:08
wiki_talk_en,2987536,24981163,1,3,680.761332,0,100000,722.695844,101216,0,20998605,101216,-1,2021-09-13.15:24:16
ba-1m-8m,1000000,7999964,1,2,642.773226,100000,0,1244.808080,22139,111278,1851378,0,-1,2021-09-13.15:24:33
baidu,2141301,17794839,1,2,1360.793744,100000,0,386.735692,98459,119627,9948882,0,-1,2021-09-13.15:25:00
dbpedia,3966925,13820853,1,2,1637.438569,100000,0,329.055608,101185,118022,1883045,0,-1,2021-09-13.15:25:19
er-1m-8m,1000000,8000000,1,2,1093.170937,100000,0,345.311984,39445,55075,663465,0,-1,2021-09-13.15:25:38
livej,4847571,68993773,1,2,4735.736061,100000,0,517.680697,113422,141518,11661130,0,-1,2021-09-13.15:26:36
patent,6009555,16518948,1,2,3404.090341,100000,0,671.715527,104665,155684,2339404,0,-1,2021-09-13.15:27:17
pokec,1632804,30622564,1,2,1788.548067,100000,0,531.728331,86030,127387,6106960,0,-1,2021-09-13.15:27:46
rmat-1m-8m,999760,7810950,1,2,417.663168,100000,0,361.428195,100566,120564,30772217,0,-1,2021-09-13.15:27:51
ssca2,1048577,157877986,1,2,1223.060054,100000,0,2183.031224,1590589,1650516,125207498,0,-1,2021-09-13.15:28:56
wiki-links,5710993,130160392,1,2,9282.647273,100000,0,1014.937808,185724,201783,54116507,0,-1,2021-09-13.15:31:20
wikitalk,2394385,5021410,1,2,533.283049,100000,0,297.778382,100446,105718,14220575,0,-1,2021-09-13.15:31:24
wiki_talk_en,2987536,24981163,1,2,753.573072,100000,0,460.505092,101239,106869,25596918,0,-1,2021-09-13.15:31:32
ba-1m-8m,1000000,7999964,1,3,758.256216,100000,0,162.983395,-33494,167462,1870857,365381,-1,2021-09-13.15:31:39
baidu,2141301,17794839,1,3,1344.466102,100000,0,212.199027,86449,132604,9854024,815158,-1,2021-09-13.15:32:04
dbpedia,3966925,13820853,1,3,1623.256836,100000,0,136.698604,91464,127768,1928469,1130588,-1,2021-09-13.15:32:20
er-1m-8m,1000000,8000000,1,3,1248.245527,100000,0,85.648785,28164,66632,663329,431184,-1,2021-09-13.15:32:29
livej,4847571,68993773,1,3,4826.639995,100000,0,247.200373,95167,158764,11348317,773738,-1,2021-09-13.15:33:21
patent,6009555,16518948,1,3,3573.636848,100000,0,199.440457,82552,182386,2446386,1019367,-1,2021-09-13.15:33:54
pokec,1632804,30622564,1,3,1881.187226,100000,0,198.128511,66119,148818,6093501,724342,-1,2021-09-13.15:34:19
rmat-1m-8m,999760,7810950,1,3,392.952402,100000,0,259.372712,86269,132779,28281137,638789,-1,2021-09-13.15:34:24
ssca2,1048577,157877986,1,3,2133.403221,100000,0,2353.381156,1527085,1676251,125734558,11915510,-1,2021-09-13.15:35:23
wiki-links,5710993,130160392,1,3,9823.628402,100000,0,746.849471,171965,213881,54119603,766675,-1,2021-09-13.15:37:38
wikitalk,2394385,5021410,1,3,463.314945,100000,0,219.191574,97280,109112,14627428,1075093,-1,2021-09-13.15:37:41
wiki_talk_en,2987536,24981163,1,3,675.121236,100000,0,293.774737,96378,109553,21235786,945597,-1,2021-09-13.15:37:49
ba-1m-8m,1000000,7999964,1,2,640.833498,0,100000,257.884814,22111,0,310056,0,-1,2021-09-13.15:38:04
baidu,2141301,17794839,1,2,1359.552171,0,100000,380.536446,98781,0,11858040,0,-1,2021-09-13.15:38:31
dbpedia,3966925,13820853,1,2,1641.820683,0,100000,837.034294,100918,0,2106664,0,-1,2021-09-13.15:38:51
er-1m-8m,1000000,8000000,1,2,1096.615590,0,100000,389.911191,39228,0,862934,0,-1,2021-09-13.15:39:09
livej,4847571,68993773,1,2,4773.007213,0,100000,362.900238,113705,0,17103012,0,-1,2021-09-13.15:40:06
patent,6009555,16518948,1,2,3409.162490,0,100000,376.621409,109127,0,3108008,0,-1,2021-09-13.15:40:47
pokec,1632804,30622564,1,2,1811.685848,0,100000,347.623374,86265,0,6912512,0,-1,2021-09-13.15:41:16
rmat-1m-8m,999760,7810950,1,2,417.201433,0,100000,369.922873,100586,0,45718950,0,-1,2021-09-13.15:41:22
ssca2,1048577,157877986,1,2,1206.625700,0,100000,1770.163639,1588016,0,240282788,0,-1,2021-09-13.15:42:26
wiki-links,5710993,130160392,1,2,9259.674923,0,100000,1096.898525,187255,0,100969104,0,-1,2021-09-13.15:44:50
wikitalk,2394385,5021410,1,2,533.211590,0,100000,388.354620,100843,0,22351288,0,-1,2021-09-13.15:44:54
wiki_talk_en,2987536,24981163,1,2,754.709456,0,100000,693.956549,100027,0,34347198,0,-1,2021-09-13.15:45:02
ba-1m-8m,1000000,7999964,1,3,756.560601,0,100000,35.181406,21843,0,153182,21843,-1,2021-09-13.15:45:09
baidu,2141301,17794839,1,3,1353.101795,0,100000,246.210288,98843,0,6159354,98843,-1,2021-09-13.15:45:34
dbpedia,3966925,13820853,1,3,1625.226095,0,100000,558.540364,100759,0,1136786,100759,-1,2021-09-13.15:45:51
er-1m-8m,1000000,8000000,1,3,1253.146717,0,100000,39.758471,39299,0,431965,39299,-1,2021-09-13.15:46:00
livej,4847571,68993773,1,3,4827.027556,0,100000,189.980735,112722,0,8479470,112722,-1,2021-09-13.15:46:51
patent,6009555,16518948,1,3,3574.853350,0,100000,84.580476,106557,0,1498489,106557,-1,2021-09-13.15:47:24
pokec,1632804,30622564,1,3,1891.632578,0,100000,119.167311,85495,0,3389229,85495,-1,2021-09-13.15:47:49
rmat-1m-8m,999760,7810950,1,3,397.615784,0,100000,366.967941,99876,0,20609550,99876,-1,2021-09-13.15:47:54
ssca2,1048577,157877986,1,3,2126.111192,0,100000,1064.236070,1589331,0,120241103,1589331,-1,2021-09-13.15:48:52
wiki-links,5710993,130160392,1,3,9841.101021,0,100000,1144.114747,188823,0,55939605,188823,-1,2021-09-13.15:51:07
wikitalk,2394385,5021410,1,3,465.391001,0,100000,341.031954,100625,0,11035111,100625,-1,2021-09-13.15:51:11
wiki_talk_en,2987536,24981163,1,3,678.946532,0,100000,724.568430,101052,0,21068701,101052,-1,2021-09-13.15:51:18
ba-1m-8m,1000000,7999964,1,2,646.615937,100000,0,1227.667598,21919,111810,1864569,0,-1,2021-09-13.15:51:36
baidu,2141301,17794839,1,2,1346.456332,100000,0,388.937008,98243,119420,9929307,0,-1,2021-09-13.15:52:02
dbpedia,3966925,13820853,1,2,1629.108307,100000,0,331.705487,101435,118664,1859672,0,-1,2021-09-13.15:52:22
er-1m-8m,1000000,8000000,1,2,1093.396130,100000,0,340.598695,39764,55471,667769,0,-1,2021-09-13.15:52:40
livej,4847571,68993773,1,2,4731.300932,100000,0,506.504047,112180,139813,10949261,0,-1,2021-09-13.15:53:38
patent,6009555,16518948,1,2,3386.814727,100000,0,676.490048,107849,157786,2440385,0,-1,2021-09-13.15:54:19
pokec,1632804,30622564,1,2,1790.690291,100000,0,523.119300,84992,124897,5959679,0,-1,2021-09-13.15:54:47
rmat-1m-8m,999760,7810950,1,2,415.272207,100000,0,355.546981,100720,120355,30511307,0,-1,2021-09-13.15:54:53
ssca2,1048577,157877986,1,2,1217.977262,100000,0,2192.997034,1598167,1658986,125892205,0,-1,2021-09-13.15:55:58
wiki-links,5710993,130160392,1,2,9247.952299,100000,0,1020.041315,185837,203120,54572351,0,-1,2021-09-13.15:58:21
wikitalk,2394385,5021410,1,2,531.986214,100000,0,299.541697,100637,105841,14448525,0,-1,2021-09-13.15:58:25
wiki_talk_en,2987536,24981163,1,2,752.538297,100000,0,455.471198,101233,106730,25383476,0,-1,2021-09-13.15:58:34
ba-1m-8m,1000000,7999964,1,3,758.771862,100000,0,163.763806,-33163,166990,1887450,372028,-1,2021-09-13.15:58:40
baidu,2141301,17794839,1,3,1341.232032,100000,0,213.911558,85715,132510,9912717,818792,-1,2021-09-13.15:59:05
dbpedia,3966925,13820853,1,3,1624.326063,100000,0,127.799299,90827,128297,1696702,1110401,-1,2021-09-13.15:59:22
er-1m-8m,1000000,8000000,1,3,1248.820462,100000,0,85.299592,27671,66508,661189,429058,-1,2021-09-13.15:59:31
livej,4847571,68993773,1,3,4845.517338,100000,0,257.251219,96136,160455,11822116,786506,-1,2021-09-13.16:00:23
patent,6009555,16518948,1,3,3569.599893,100000,0,193.818941,80049,181336,2382085,978138,-1,2021-09-13.16:00:56
pokec,1632804,30622564,1,3,1897.149608,100000,0,197.919232,64561,147127,6032464,720480,-1,2021-09-13.16:01:21
