model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
ba-1m-8m,1000000,7999964,1,2,770.267590,0,100000,2699.079334,22153,0,310660,0,-1,-1,2021-09-29.15:53:14
baidu,2141301,17794839,1,2,1655.565616,0,100000,464.531973,98825,0,12092800,0,-1,-1,2021-09-29.15:53:47
dbpedia,3966925,13820853,1,2,2089.045034,0,100000,1140.761326,100424,0,2195920,0,-1,-1,2021-09-29.15:54:11
er-1m-8m,1000000,8000000,1,2,975.884855,0,100000,660.274371,39215,0,861782,0,-1,-1,2021-09-29.15:54:32
livej,4847571,68993773,1,2,5013.986266,0,100000,14433.664765,112663,0,16477184,0,-1,-1,2021-09-29.15:55:54
patent,6009555,16518948,1,2,3521.636593,0,100000,462.751837,107482,0,3042930,0,-1,-1,2021-09-29.15:56:41
pokec,1632804,30622564,1,2,1995.222389,0,100000,438.564856,86197,0,6892510,0,-1,-1,2021-09-29.15:57:16
rmat-1m-8m,999760,7810950,1,2,518.889324,0,100000,447.492191,100584,0,45651032,0,-1,-1,2021-09-29.15:57:21
ssca2,1048577,157877986,1,2,1298.218649,0,100000,2120.555274,1586537,0,240264544,0,-1,-1,2021-09-29.15:58:44
wiki-links,5710993,130160392,1,2,8758.697968,0,100000,1388.888035,189701,0,108983830,0,-1,-1,2021-09-29.16:01:35
wikitalk,2394385,5021410,1,2,714.279907,0,100000,31109.348489,100698,0,22309396,0,-1,-1,2021-09-29.16:02:10
wiki_talk_en,2987536,24981163,1,2,1280.909098,0,100000,892.650239,100049,0,34604010,0,-1,-1,2021-09-29.16:02:20
ba-1m-8m,1000000,7999964,1,3,775.944526,100000,0,212.366352,22129,166334,1835423,357652,-1,-1,2021-09-29.16:02:25
baidu,2141301,17794839,1,3,1621.448311,100000,0,268.740505,98687,133670,10386149,812062,-1,-1,2021-09-29.16:02:57
dbpedia,3966925,13820853,1,3,1895.762640,100000,0,146.514792,100413,126976,1748965,1131476,-1,-1,2021-09-29.16:03:16
