model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
*,-1,-1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:55
*,-1,-1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:55
*,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:55
*,-1,-1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:55
*,-1,-1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:55
*,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:55
*,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:56
*,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:56
*,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:56
*,-1,-1,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:56
*,-1,-1,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-03.16:48:56
DBLP,1824702,8344615,1,4,951.094504,100000,0,76.956781,118187,148070,1159137,0,0,16716,-1,-1,-1,2022-10-03.16:49:29
DBLP,1824702,8344615,1,4,955.022067,0,100000,54.306171,118187,0,656630,0,0,0,-1,-1,-1,2022-10-03.16:49:46
DBLP,-1,-1,1,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,860.426,179.981,2022-10-03.16:50:21
Flickr,2302926,22838276,1,4,1282.317098,100000,0,239.175260,110044,130351,10818444,1,1,11089,-1,-1,-1,2022-10-03.16:51:00
Flickr,2302926,22838276,1,4,1301.732818,0,100000,173.369801,110044,0,8642827,0,0,0,-1,-1,-1,2022-10-03.16:51:37
Flickr,-1,-1,1,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2892.54,446.768,2022-10-03.16:52:47
StackOverflow,2601978,28183518,1,4,2299.173105,100000,0,1612.189081,101477,176306,43483076,9,10,47318,-1,-1,-1,2022-10-03.16:53:58
StackOverflow,2601978,28183518,1,4,2304.954559,0,100000,856.709302,101477,0,24803420,0,0,0,-1,-1,-1,2022-10-03.16:55:07
StackOverflow,-1,-1,1,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,6998.43,990.443,2022-10-03.16:57:15
wiki-edits-sh,4579815,6265043,1,4,281.631757,100000,0,1806.531053,100867,116956,78568581,2,2,10631,-1,-1,-1,2022-10-03.16:57:25
wiki-edits-sh,4579815,6265043,1,4,276.719010,0,100000,1838.859789,100867,0,43642478,0,0,0,-1,-1,-1,2022-10-03.16:57:36
wiki-edits-sh,-1,-1,1,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,1401.04,679.155,2022-10-03.17:10:08
DBLP,1824702,8344615,2,4,946.362716,100000,0,51.430095,116700,146353,1122214,0,0,16749,-1,-1,-1,2022-10-03.17:10:25
DBLP,1824702,8344615,2,4,961.993614,0,100000,37.836652,115537,0,645646,0,0,0,-1,-1,-1,2022-10-03.17:10:43
DBLP,-1,-1,2,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,597.874,178.85,2022-10-03.17:11:18
Flickr,2302926,22838276,2,4,1280.671902,100000,0,180.813496,108497,128461,10395675,1,1,11034,-1,-1,-1,2022-10-03.17:11:56
Flickr,2302926,22838276,2,4,1296.095915,0,100000,112.365801,109755,0,8473239,0,0,0,-1,-1,-1,2022-10-03.17:12:33
Flickr,-1,-1,2,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2215.87,463.135,2022-10-03.17:13:43
