model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
wikitalk,2394385,5021410,1,3,461.716084,0,100000,309.449613,99987,0,9656700,99987,-1,2021-09-15.22:00:35
wiki_talk_en,2987536,24981163,1,3,681.086560,0,100000,710.605111,101257,0,21117433,101257,-1,2021-09-15.22:00:43
ba-1m-8m,1000000,7999964,1,2,629.532606,100000,0,1205.567220,21746,112297,1883147,0,-1,2021-09-15.22:01:00
baidu,2141301,17794839,1,2,1330.901978,100000,0,384.289037,98864,119815,10223526,0,-1,2021-09-15.22:01:26
dbpedia,3966925,13820853,1,2,1616.178114,100000,0,324.140699,100946,117177,1677168,0,-1,2021-09-15.22:01:45
er-1m-8m,1000000,8000000,1,2,1079.715990,100000,0,336.048289,39118,54622,657079,0,-1,2021-09-15.22:02:04
livej,4847571,68993773,1,2,4677.039949,100000,0,501.664529,110567,138478,11108880,0,-1,2021-09-15.22:03:01
patent,6009555,16518948,1,2,3345.182991,100000,0,663.469422,106686,156485,2382201,0,-1,2021-09-15.22:03:41
pokec,1632804,30622564,1,2,1752.953759,100000,0,520.299369,86333,126459,6025180,0,-1,2021-09-15.22:04:10
rmat-1m-8m,999760,7810950,1,2,413.401671,100000,0,336.789687,99534,119648,28411843,0,-1,2021-09-15.22:04:15
roadNetCA,1971281,5533214,1,2,588.088623,100000,0,452.868535,61079,205971,625522,0,-1,2021-09-15.22:04:22
ssca2,1048577,157877986,1,2,1229.433071,100000,0,2177.112989,1585382,1645569,124875352,0,-1,2021-09-15.22:05:26
wiki-links,5710993,130160392,1,2,9324.940233,100000,0,1004.024881,187180,202751,53420612,0,-1,2021-09-15.22:07:49
wikitalk,2394385,5021410,1,2,528.561292,100000,0,277.205169,100007,105139,12783796,0,-1,2021-09-15.22:07:53
wiki_talk_en,2987536,24981163,1,2,745.910502,100000,0,396.830927,99959,105639,21284507,0,-1,2021-09-15.22:08:01
ba-1m-8m,1000000,7999964,1,3,751.675430,100000,0,164.525164,-33140,166724,1848203,299458,-1,2021-09-15.22:08:08
baidu,2141301,17794839,1,3,1318.845863,100000,0,210.111644,85958,132951,10199331,665852,[0m,,2021-09-15.22:08:32
dbpedia,3966925,13820853,1,3,1618.138419,100000,0,128.755984,90748,127096,1751240,927410,[0m,,2021-09-15.22:08:47
er-1m-8m,1000000,8000000,1,3,1245.222877,100000,0,85.092888,27944,66715,662770,397220,-1,2021-09-15.22:08:56
livej,4847571,68993773,1,3,4811.196680,100000,0,241.603722,94046,157336,11166495,680793,-1,2021-09-15.22:09:48
patent,6009555,16518948,1,3,3515.203501,100000,0,200.169015,82866,183479,2456206,934799,[0m,,2021-09-15.22:10:20
pokec,1632804,30622564,1,3,1849.159836,100000,0,193.903991,65742,147516,6039107,642912,[0m,,2021-09-15.22:10:44
rmat-1m-8m,999760,7810950,1,3,392.848795,100000,0,257.680873,86430,132675,28453481,504333,[0m,,2021-09-15.22:10:49
roadNetCA,1971281,5533214,1,3,570.232858,100000,0,102.880681,12765,256080,627958,843914,-1,2021-09-15.22:10:53
ssca2,1048577,157877986,1,3,2168.676862,100000,0,2410.660508,1534219,1685714,126228505,11861198,[0m,,2021-09-15.22:11:52
wiki-links,5710993,130160392,1,3,9878.069293,100000,0,818.315461,176633,218119,61348694,660178,-1,2021-09-15.22:14:06
wikitalk,2394385,5021410,1,3,458.890645,100000,0,200.612550,96434,108719,13082731,791929,[0m,,2021-09-15.22:14:09
wiki_talk_en,2987536,24981163,1,3,675.639764,100000,0,323.389444,97530,110695,25277351,677230,[0m,,2021-09-15.22:14:16
ba-1m-8m,1000000,7999964,1,2,622.748212,0,100000,252.857206,21767,0,305298,0,-1,2021-09-15.22:14:31
baidu,2141301,17794839,1,2,1335.325441,0,100000,373.210913,98920,0,11967968,0,-1,2021-09-15.22:14:58
dbpedia,3966925,13820853,1,2,1615.013533,0,100000,789.626439,101551,0,1846038,0,-1,2021-09-15.22:15:18
er-1m-8m,1000000,8000000,1,2,1080.811395,0,100000,372.320372,39016,0,857028,0,-1,2021-09-15.22:15:36
livej,4847571,68993773,1,2,4712.828144,0,100000,348.857846,110775,0,15944112,0,-1,2021-09-15.22:16:33
patent,6009555,16518948,1,2,3390.339653,0,100000,365.343384,106853,0,2992962,0,-1,2021-09-15.22:17:13
pokec,1632804,30622564,1,2,1761.466454,0,100000,332.428570,85460,0,6820836,0,-1,2021-09-15.22:17:41
rmat-1m-8m,999760,7810950,1,2,421.887262,0,100000,348.505916,99637,0,40587906,0,-1,2021-09-15.22:17:47
roadNetCA,1971281,5533214,1,2,605.677029,0,100000,179.987750,62002,0,195748,0,-1,2021-09-15.22:17:53
ssca2,1048577,157877986,1,2,1203.554620,0,100000,1782.475001,1587160,0,240620678,0,-1,2021-09-15.22:18:57
wiki-links,5710993,130160392,1,2,9284.681641,0,100000,1097.414471,187736,0,100356088,0,-1,2021-09-15.22:21:20
