I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,2,20,0,32,283.120363,38.240085,67.257168,501.495958,0,10000000,0,0,0,0
10000000,2,21,0,32,292.371465,24.900143,48.918359,458.723256,125366,11755124,0,62683,0,0
10000000,2,22,0,32,499.305480,1.394921,42.654736,483.708031,6307063,19990988,0,356821,2485,0
10000000,2,23,0,32,7337.808997,1.841280,12.759195,4159.607578,99024410,19999976,0,357142,713076,0
20000000,2,20,0,32,556.633975,71.358534,145.102141,1018.746304,0,20000000,0,0,0,0
20000000,2,21,0,32,542.491067,57.179107,115.941053,992.648804,250266,23503724,0,125133,0,0
