I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,2,20,0,0,1324.113159,675.446137,872.869416,3306.333380,0,10000000,0,0,0,0
10000000,2,21,0,0,1347.377172,662.199581,886.679088,3307.173556,5022,10070308,0,2511,0,0
10000000,2,22,0,0,542.246755,54.510845,421.833711,982.981066,5753559,19985248,0,356616,643,0
10000000,2,23,0,0,1198.439384,36.276694,136.846765,1569.930350,99024410,19999976,0,357142,713076,0
10000000,2,20,1,0,1644.140168,675.835332,1114.903257,3367.853351,0,10000000,0,0,0,0
10000000,2,21,1,0,1678.078099,664.475489,1185.093474,3391.526519,4894,10068516,0,2447,0,0
10000000,2,22,1,0,635.365156,54.688303,582.738743,1111.892941,5754699,19985668,0,356631,643,0
10000000,2,23,1,0,1570.787899,36.271063,283.957275,1873.631891,99024410,19999976,0,357142,713076,0
10000000,2,20,0,1,1368.948177,806.790241,880.021988,3298.609374,0,10000000,0,0,0,0
10000000,2,21,0,1,1536.769270,789.013856,894.765530,3306.215538,4912,10068768,0,2456,0,0
10000000,2,22,0,1,531.988174,56.977823,429.422059,996.481202,5756221,19985584,0,356628,1312,0
10000000,2,23,0,1,1179.020996,35.923948,141.572077,1560.870154,99024410,19999976,0,357142,713076,0
10000000,2,20,1,1,1720.519791,808.045692,1124.139712,3364.828684,0,10000000,0,0,0,0
10000000,2,21,1,1,1757.262974,793.696447,1193.278269,3372.345635,4944,10069216,0,2472,0,0
10000000,2,22,1,1,645.640634,56.756982,585.953453,1125.919816,5754281,19984828,0,356601,643,0
10000000,2,23,1,1,1595.171894,36.076773,287.603935,1865.639913,99024410,19999976,0,357142,713076,0
10000000,2,20,0,2,738.805769,406.670740,448.533048,1783.784455,0,10000000,0,0,0,0
10000000,2,21,0,2,839.933364,401.150437,458.939083,1787.837566,4906,10068684,0,2453,0,0
10000000,2,22,0,2,371.051885,28.276571,221.951281,651.128356,5753690,19985808,0,356636,643,0
10000000,2,23,0,2,1781.161157,18.468081,71.676985,2107.300776,99024410,19999976,0,357142,713076,0
10000000,2,20,1,2,921.109910,407.740942,570.441562,1818.765667,0,10000000,0,0,0,0
10000000,2,21,1,2,937.735336,401.648813,606.731511,1818.167405,5042,10070588,0,2521,0,0
10000000,2,22,1,2,433.768942,28.455988,283.831503,713.187091,5754363,19986032,0,356644,643,0
10000000,2,23,1,2,2271.527539,17.974949,221.583712,2650.780342,99024410,19999976,0,357142,713076,0
10000000,2,20,0,4,402.360541,208.342330,234.983519,931.671601,0,10000000,0,0,0,0
10000000,2,21,0,4,441.608512,204.211479,241.562566,930.927777,5004,10070056,0,2502,0,0
10000000,2,22,0,4,251.918110,14.382010,116.895147,406.995903,5754633,19985332,0,356619,643,0
10000000,2,23,0,4,1808.374872,9.606792,36.712920,2513.993709,99024410,19999976,0,357142,713076,0
10000000,2,20,1,4,477.065605,208.323977,293.585287,946.738403,0,10000000,0,0,0,0
10000000,2,21,1,4,483.162061,204.641575,313.038280,944.649030,5032,10070448,0,2516,0,0
10000000,2,22,1,4,304.928663,14.331859,142.995592,436.999495,5754063,19985360,0,356620,643,0
10000000,2,23,1,4,2567.350359,9.029476,89.396640,3065.540551,99024410,19999976,0,357142,713076,0
10000000,2,20,0,8,276.052785,111.198236,139.170853,569.495622,0,10000000,0,0,0,0
10000000,2,21,0,8,281.474472,106.940840,143.280943,565.464104,4884,10068376,0,2442,0,0
10000000,2,22,0,8,346.864559,7.359092,89.893752,603.768993,5754617,19985584,0,356628,643,0
10000000,2,23,0,8,3605.831658,5.135405,21.631349,2495.814054,99024410,19999976,0,357142,713076,0
10000000,2,20,1,8,330.550062,111.044699,162.649090,585.259528,0,10000000,0,0,0,0
10000000,2,21,1,8,326.271464,107.188109,169.648908,586.772284,4954,10069356,0,2477,0,0
10000000,2,22,1,8,392.927255,7.281659,128.490273,626.197302,5753961,19985612,0,356629,643,0
10000000,2,23,1,8,4368.193915,4.600222,79.350168,5247.866220,99024410,19999976,0,357142,713076,0
10000000,2,20,0,16,233.385620,58.569286,83.845915,521.293368,0,10000000,0,0,0,0
10000000,2,21,0,16,229.732509,54.481588,81.519183,468.187270,5002,10070028,0,2501,0,0
10000000,2,22,0,16,276.473547,3.760335,63.642510,529.981628,5754146,19985780,0,356635,643,0
10000000,2,23,0,16,3665.297417,2.621884,14.384080,2592.368209,99024410,19999976,0,357142,713076,0
10000000,2,20,1,16,304.403520,58.599828,93.584911,513.884290,0,10000000,0,0,0,0
10000000,2,21,1,16,308.215387,54.466797,92.484903,473.878366,4852,10067928,0,2426,0,0
10000000,2,22,1,16,348.120765,3.743184,72.706866,509.736267,5754311,19985752,0,356634,643,0
10000000,2,23,1,16,5254.054262,2.424536,47.611526,6375.501709,99024410,19999976,0,357142,713076,0
10000000,2,20,0,24,221.618579,44.451677,71.545415,527.299343,0,10000000,0,0,0,0
10000000,2,21,0,24,226.531745,39.149265,65.366064,508.454436,4830,10067620,0,2415,0,0
10000000,2,22,0,24,294.789974,2.554212,49.063689,484.212703,5754528,19985752,0,356634,643,0
10000000,2,23,0,24,3739.738601,1.965086,13.283282,2629.368592,99024410,19999976,0,357142,713076,0
10000000,2,20,1,24,306.607300,44.497829,74.196280,506.482996,0,10000000,0,0,0,0
10000000,2,21,1,24,299.837305,39.146335,68.145075,505.088065,5136,10071904,0,2568,0,0
10000000,2,22,1,24,345.452562,2.540761,54.913965,455.585735,5754324,19985220,0,356615,643,0
10000000,2,23,1,24,5374.571357,1.698784,34.529443,6904.873551,99024410,19999976,0,357142,713076,0
10000000,2,20,0,32,221.126254,38.745067,67.558409,517.376908,0,10000000,0,0,0,0
10000000,2,21,0,32,224.905620,31.454778,59.093028,498.343433,4870,10068180,0,2435,0,0
10000000,2,22,0,32,305.195466,1.946735,45.823827,427.857377,5754061,19985248,0,356616,643,0
10000000,2,23,0,32,4626.387621,1.903953,12.923895,3670.267183,99024410,19999976,0,357142,713076,0
10000000,2,20,1,32,303.662526,38.715356,65.723828,524.277386,0,10000000,0,0,0,0
10000000,2,21,1,32,300.258897,31.436927,56.632140,496.755631,4988,10069832,0,2494,0,0
10000000,2,22,1,32,352.873009,1.972436,44.226457,410.292314,5755096,19985780,0,356635,643,0
10000000,2,23,1,32,5539.645668,1.294317,28.678485,6921.468676,99024410,19999976,0,357142,713076,0
10000000,2,20,0,40,219.937728,37.786604,65.839852,533.194051,0,10000000,0,0,0,0
10000000,2,21,0,40,227.373003,29.221259,55.432596,525.661411,4786,10067004,0,2393,0,0
10000000,2,22,0,40,352.280341,1.707295,48.807167,434.232768,5753895,19985192,0,356614,643,0
10000000,2,23,0,40,4643.707420,1.212963,12.243646,4219.495440,99024410,19999976,0,357142,713076,0
10000000,2,20,1,40,313.953081,37.809925,61.186488,540.921146,0,10000000,0,0,0,0
10000000,2,21,1,40,306.278235,29.276792,51.101567,513.876561,5030,10070420,0,2515,0,0
10000000,2,22,1,40,373.058378,1.809519,45.198848,415.887002,5754579,19985584,0,356628,643,0
10000000,2,23,1,40,6651.917102,1.124089,29.370615,7544.202378,99024410,19999976,0,357142,713076,0
10000000,2,20,0,48,224.384869,37.500211,64.092515,539.460137,0,10000000,0,0,0,0
10000000,2,21,0,48,225.593862,28.724737,53.194418,522.417100,4976,10069664,0,2488,0,0
10000000,2,22,0,48,375.119284,1.515576,44.345171,425.427576,5754427,19985864,0,356638,643,0
10000000,2,23,0,48,7436.945598,1.615191,12.545129,3981.045504,99024410,19999976,0,357142,713076,0
10000000,2,20,1,48,314.960080,37.542932,58.966521,544.119046,0,10000000,0,0,0,0
10000000,2,21,1,48,311.387663,28.846752,47.806621,520.161557,4922,10068908,0,2461,0,0
10000000,2,22,1,48,386.947139,1.800189,37.461849,407.964018,5754077,19985304,0,356618,643,0
10000000,2,23,1,48,6239.476794,0.981753,28.820951,7860.283267,99024410,19999976,0,357142,713076,0
10000000,2,20,0,56,220.548907,37.932029,62.485553,544.550411,0,10000000,0,0,0,0
10000000,2,21,0,56,229.793071,29.184317,51.868539,528.841622,4986,10069804,0,2493,0,0
10000000,2,22,0,56,393.845367,1.511505,45.874807,413.876354,5754925,19985696,0,356632,643,0
10000000,2,23,0,56,7397.419596,1.001004,10.995031,4169.163396,99024410,19999976,0,357142,713076,0
10000000,2,20,1,56,317.086168,37.766692,57.207372,543.750011,0,10000000,0,0,0,0
10000000,2,21,1,56,309.389931,29.104703,46.174030,523.587829,4808,10067312,0,2404,0,0
10000000,2,22,1,56,394.871869,1.654912,36.311329,401.580043,5754083,19985472,0,356624,643,0
10000000,2,23,1,56,6793.085423,0.923970,28.192163,8501.377086,99024410,19999976,0,357142,713076,0
10000000,2,20,0,64,222.514290,38.058184,61.131793,548.466153,0,10000000,0,0,0,0
10000000,2,21,0,64,226.642940,28.960507,51.307214,532.708093,5072,10071008,0,2536,0,0
10000000,2,22,0,64,403.875410,1.483465,46.830458,405.168876,5754908,19985892,0,356639,643,0
10000000,2,23,0,64,4256.869587,1.041726,10.308111,4506.676291,99024410,19999976,0,357142,713076,0
10000000,2,20,1,64,325.062812,37.630215,55.769588,543.625518,0,10000000,0,0,0,0
10000000,2,21,1,64,318.088627,29.203847,45.487398,527.924361,4990,10069860,0,2495,0,0
10000000,2,22,1,64,405.774650,1.624661,35.019211,397.094490,5754974,19985864,0,356638,643,0
10000000,2,23,1,64,7196.238072,0.918270,27.749074,8961.037439,99024410,19999976,0,357142,713076,0
10000000,2,20,0,128,210.747912,38.193949,62.850237,346.785139,0,10000000,0,0,0,0
10000000,2,21,0,128,209.576741,30.809877,53.091891,335.523496,4984,10069776,0,2492,0,0
10000000,2,22,0,128,315.260231,2.184836,46.660009,301.638655,5754144,19985808,0,356636,643,0
10000000,2,23,0,128,4952.478574,2.023668,10.436757,5394.927873,99024410,19999976,0,357142,713076,0
10000000,2,20,1,128,282.579540,38.523804,56.414896,292.021453,0,10000000,0,0,0,0
10000000,2,21,1,128,274.486287,31.522218,45.517450,276.567838,4810,10067340,0,2405,0,0
10000000,2,22,1,128,305.601567,2.167735,32.753221,313.813085,5754267,19985388,0,356621,643,0
10000000,2,23,1,128,6957.661358,1.447483,33.174440,9197.941313,99024410,19999976,0,357142,713076,0
10000000,2,20,0,0,1324.307912,675.425915,875.080720,3316.445523,0,10000000,0,0,0,0
10000000,2,21,0,0,1352.271771,665.071492,889.921466,3309.324975,4928,10068992,0,2464,0,0
10000000,2,22,0,0,546.742010,55.049565,424.558130,997.315498,5753898,19985668,0,356631,643,0
10000000,2,23,0,0,1220.893325,36.749666,138.668358,1606.874230,99024410,19999976,0,357142,713076,0
10000000,2,20,1,0,1646.678088,675.371919,1115.402645,3370.326634,0,10000000,0,0,0,0
10000000,2,21,1,0,1680.071083,665.661533,1186.501308,3398.606862,4892,10068488,0,2446,0,0
10000000,2,22,1,0,636.728457,55.640740,582.617124,1113.330979,5754135,19985668,0,356631,643,0
10000000,2,23,1,0,1595.572866,36.738605,286.420003,1912.445858,99024410,19999976,0,357142,713076,0
10000000,2,20,0,1,1380.910155,807.716926,881.846534,3309.401520,0,10000000,0,0,0,0
10000000,2,21,0,1,1542.908850,789.113202,896.771743,3307.911257,4928,10068992,0,2464,0,0
10000000,2,22,0,1,534.404414,56.825852,428.910145,1003.372218,5754844,19985332,0,356619,643,0
10000000,2,23,0,1,1174.336276,36.145069,141.990152,1591.758358,99024410,19999976,0,357142,713076,0
10000000,2,20,1,1,1708.065767,808.365898,1125.197938,3371.909128,0,10000000,0,0,0,0
10000000,2,21,1,1,1756.014587,789.807746,1194.282873,3377.291616,5062,10070868,0,2531,0,0
10000000,2,22,1,1,648.050433,56.486527,585.778614,1131.310790,5754958,19985472,0,356624,643,0
10000000,2,23,1,1,1612.843849,36.150588,289.117667,1906.026452,99024410,19999976,0,357142,713076,0
10000000,2,20,0,2,744.183491,408.118424,449.404527,1789.489341,0,10000000,0,0,0,0
10000000,2,21,0,2,841.912027,397.605234,457.924388,1793.559856,5096,10071344,0,2548,0,0
