I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,2,20,3,0,1565.020192,671.558251,260.286403,3232.422742,0,10000000,0,0,0,0
10000000,2,21,3,0,1666.982692,593.170053,263.431099,3101.797039,125150,11752100,0,62575,0,0
10000000,2,22,3,0,389.052915,35.388934,149.562813,702.106935,6315796,19990568,0,356806,3780,0
10000000,2,23,3,0,960.864933,35.628405,36.207880,1305.233700,99024410,19999976,0,357142,713076,0
10000000,2,20,0,0,1653.179474,672.121656,726.174839,3286.627652,0,10000000,0,0,0,0
10000000,2,21,0,0,1776.347773,594.509901,757.704835,3206.035848,125116,11751624,0,62558,0,0
10000000,2,22,0,0,427.247061,34.735586,322.862146,752.208288,6294219,19990932,0,356819,3780,0
10000000,2,23,0,0,1122.172665,35.043139,131.751221,1430.828785,99024410,19999976,0,357142,713076,0
10000000,2,20,1,0,1788.089421,672.963022,1175.121970,3336.508814,0,10000000,0,0,0,0
10000000,2,21,1,0,1936.477764,593.119151,1186.846679,3262.988308,125584,11758176,0,62792,0,0
10000000,2,22,1,0,563.194754,34.710015,483.217877,879.929264,6284029,19990820,0,356815,3780,0
10000000,2,23,1,0,1580.413569,34.969496,275.523914,1863.426648,99024410,19999976,0,357142,713076,0
10000000,2,20,0,1,1819.064724,809.967321,833.913229,3295.523678,0,10000000,0,0,0,0
10000000,2,21,0,1,1971.136906,689.798952,812.773423,3227.944348,124660,11745240,0,62330,0,0
10000000,2,22,0,1,432.858784,35.254178,346.996461,787.447415,6295291,19990428,0,356801,2485,0
10000000,2,23,0,1,1131.916827,34.537187,133.408643,1433.820235,99024410,19999976,0,357142,713076,0
10000000,2,20,1,1,2320.765132,809.921510,1171.613398,3354.020393,0,10000000,0,0,0,0
10000000,2,21,1,1,2353.831716,689.404895,1181.950006,3288.553435,125410,11755740,0,62705,0,0
10000000,2,22,1,1,580.854699,35.201806,476.957636,901.951759,6284868,19990652,0,356809,7034,0
10000000,2,23,1,1,1609.809293,34.539157,276.050706,1894.409770,99024410,19999976,0,357142,713076,0
10000000,2,20,0,2,895.538231,410.337398,427.200019,1784.353820,0,10000000,0,0,0,0
10000000,2,21,0,2,1002.884115,349.297351,413.982936,1728.489028,124286,11740004,0,62143,0,0
10000000,2,22,0,2,375.001976,17.837063,203.874448,581.158863,6316738,19990932,0,356819,3780,0
10000000,2,23,0,2,1465.312279,19.247845,66.794165,2146.281199,99024410,19999976,0,357142,713076,0
10000000,2,20,1,2,1110.775141,410.498255,593.372262,1820.083609,0,10000000,0,0,0,0
10000000,2,21,1,2,1203.574883,349.494421,596.174573,1752.544061,125608,11758512,0,62804,0,0
10000000,2,22,1,2,444.125883,17.988939,254.319525,636.368586,6266141,19990344,0,356798,2485,0
10000000,2,23,1,2,2287.208878,17.304840,235.997521,2694.023782,99024410,19999976,0,357142,713076,0
10000000,2,20,0,4,468.515200,210.764297,224.691330,930.705475,0,10000000,0,0,0,0
10000000,2,21,0,4,513.192846,176.556483,216.783567,899.515883,125618,11758652,0,62809,0,0
10000000,2,22,0,4,276.568519,8.927937,109.884484,373.689199,6298598,19991128,0,356826,2485,0
10000000,2,23,0,4,1841.910224,9.936080,34.290157,2345.919853,99024410,19999976,0,357142,713076,0
10000000,2,20,1,4,577.674572,210.319387,306.774668,948.047966,0,10000000,0,0,0,0
10000000,2,21,1,4,607.498604,176.199109,305.302104,911.176938,124864,11748096,0,62432,0,0
10000000,2,22,1,4,323.324995,8.944337,133.601751,405.426405,6268643,19990876,0,356817,2485,0
10000000,2,23,1,4,2708.069576,9.585017,87.791432,2996.539895,99024410,19999976,0,357142,713076,0
10000000,2,20,0,8,292.576440,112.289994,135.498045,575.370295,0,10000000,0,0,0,0
10000000,2,21,0,8,307.482412,91.744899,124.933485,561.587379,124796,11747144,0,62398,0,0
10000000,2,22,0,8,377.437570,4.503681,71.991671,596.461738,6296511,19990652,0,356809,2485,0
10000000,2,23,0,8,2538.125047,5.032704,23.988447,3464.247793,99024410,19999976,0,357142,713076,0
