model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,543.278,514.751,2022-10-07.17:05:27
roadNetCA,1971281,2766607,16,4,788.484669,100000,0,67.272635,47430,251603,545772,170,178,149120,-1,-1,-1,2022-10-07.17:05:31
roadNetCA,1971281,2766607,16,4,797.915379,0,100000,32.968684,59309,0,95678,0,0,0,-1,-1,-1,2022-10-07.17:05:35
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,408.293,140.153,2022-10-07.17:05:43
baidu,2141301,17014946,16,4,1499.685335,100000,0,125.756139,97576,131958,6467339,3,3,21629,-1,-1,-1,2022-10-07.17:06:14
baidu,2141301,17014946,16,4,1499.752582,0,100000,77.783750,93522,0,3360525,0,0,0,-1,-1,-1,2022-10-07.17:06:44
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,963.944,592.262,2022-10-07.17:07:41
dbpedia,3966925,12610982,16,4,1979.767790,100000,0,68.436495,98049,125180,1270599,20,23,16824,-1,-1,-1,2022-10-07.17:08:02
dbpedia,3966925,12610982,16,4,1920.682283,0,100000,446.689100,101042,0,1014652,0,0,0,-1,-1,-1,2022-10-07.17:08:22
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,780.668,419.779,2022-10-07.17:09:05
livej,4847571,42851237,16,4,4900.707521,100000,0,178.804366,113128,159913,6760753,19,23,29063,-1,-1,-1,2022-10-07.17:10:11
livej,4847571,42851237,16,4,4875.431179,0,100000,76.004757,102396,0,4400507,0,0,0,-1,-1,-1,2022-10-07.17:11:13
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,558.622,506.514,2022-10-07.17:13:39
roadNetCA,1971281,2766607,16,4,807.738732,100000,0,67.888266,48053,249239,534972,121,127,145619,-1,-1,-1,2022-10-07.17:13:43
roadNetCA,1971281,2766607,16,4,808.992515,0,100000,31.554038,59093,0,94052,0,0,0,-1,-1,-1,2022-10-07.17:13:47
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,417.93,140.784,2022-10-07.17:13:55
baidu,2141301,17014946,16,4,1521.888684,100000,0,119.582307,98116,131832,6469347,12,12,21215,-1,-1,-1,2022-10-07.17:14:26
baidu,2141301,17014946,16,4,1500.714310,0,100000,76.426237,92905,0,3278485,0,0,0,-1,-1,-1,2022-10-07.17:14:56
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,1086.32,621.783,2022-10-07.17:15:54
dbpedia,3966925,12610982,16,4,1952.963008,100000,0,77.802462,98142,125303,1375634,11,14,16694,-1,-1,-1,2022-10-07.17:16:14
dbpedia,3966925,12610982,16,4,1937.897674,0,100000,457.454179,101808,0,1183562,0,0,0,-1,-1,-1,2022-10-07.17:16:34
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,657.068,388.642,2022-10-07.17:17:17
livej,4847571,42851237,16,4,4909.507901,100000,0,167.998603,111044,157082,6102856,4,4,28242,-1,-1,-1,2022-10-07.17:18:23
livej,4847571,42851237,16,4,4925.444545,0,100000,83.416280,105340,0,4266343,0,0,0,-1,-1,-1,2022-10-07.17:19:25
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,463.513,502.381,2022-10-07.17:21:50
roadNetCA,1971281,2766607,16,4,810.935798,100000,0,71.993343,49042,249440,537847,126,128,145066,-1,-1,-1,2022-10-07.17:21:54
roadNetCA,1971281,2766607,16,4,810.123181,0,100000,31.996568,59282,0,95363,0,0,0,-1,-1,-1,2022-10-07.17:21:58
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,382.147,145.874,2022-10-07.17:22:06
baidu,2141301,17014946,16,4,1515.857550,100000,0,134.201754,98254,132499,6718421,11,12,21698,-1,-1,-1,2022-10-07.17:22:37
baidu,2141301,17014946,16,4,1511.768106,0,100000,158.196578,97839,0,7456445,0,0,0,-1,-1,-1,2022-10-07.17:23:07
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,802.831,581.645,2022-10-07.17:24:04
dbpedia,3966925,12610982,16,4,1953.734029,100000,0,128.185621,99216,126454,1779180,7,7,16676,-1,-1,-1,2022-10-07.17:24:25
dbpedia,3966925,12610982,16,4,1932.150103,0,100000,441.027578,101216,0,984737,0,0,0,-1,-1,-1,2022-10-07.17:24:45
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,564.321,390.546,2022-10-07.17:25:28
livej,4847571,42851237,16,4,4922.219060,100000,0,167.675164,111569,156436,6208037,5,5,27362,-1,-1,-1,2022-10-07.17:26:34
livej,4847571,42851237,16,4,4906.149766,0,100000,76.004674,102798,0,4667100,0,0,0,-1,-1,-1,2022-10-07.17:27:36
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,526.709,524.071,2022-10-07.17:30:02
roadNetCA,1971281,2766607,16,4,803.428521,100000,0,70.915915,48146,250504,542921,130,135,146910,-1,-1,-1,2022-10-07.17:30:07
roadNetCA,1971281,2766607,16,4,802.922864,0,100000,31.220573,59081,0,93990,0,0,0,-1,-1,-1,2022-10-07.17:30:11
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,404.422,139.605,2022-10-07.17:30:18
baidu,2141301,17014946,16,4,1520.384135,100000,0,127.563092,97662,131091,6429105,4,5,20829,-1,-1,-1,2022-10-07.17:30:49
baidu,2141301,17014946,16,4,1523.344023,0,100000,83.630824,93322,0,3569630,0,0,0,-1,-1,-1,2022-10-07.17:31:19
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,889.992,591.371,2022-10-07.17:32:17
dbpedia,3966925,12610982,16,4,1962.797308,100000,0,101.829740,98539,124626,1616769,9,9,15962,-1,-1,-1,2022-10-07.17:32:37
dbpedia,3966925,12610982,16,4,1941.531738,0,100000,441.765627,101303,0,1084947,0,0,0,-1,-1,-1,2022-10-07.17:32:57
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,912.866,424.49,2022-10-07.17:33:40
livej,4847571,42851237,16,4,4944.399841,100000,0,167.286490,112674,157847,6214623,9,9,27641,-1,-1,-1,2022-10-07.17:34:46
livej,4847571,42851237,16,4,4895.892023,0,100000,72.258153,101501,0,3934532,0,0,0,-1,-1,-1,2022-10-07.17:35:49
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,513.023,532.489,2022-10-07.17:38:14
roadNetCA,1971281,2766607,16,4,812.788003,100000,0,69.007646,48995,249596,535677,121,121,145586,-1,-1,-1,2022-10-07.17:38:18
