model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
er-1m-8m,1000000,8000000,1,3,1088.362127,0,100000,41.185420,39545,0,869652,39545,-1,2021-08-21.17:31:07
livej,4847571,68993773,1,3,4854.605896,0,100000,172.152523,111717,0,16148422,111717,-1,2021-08-21.17:31:58
patent,6009555,16518948,1,3,3554.081281,0,100000,82.696541,107096,0,2986526,107096,-1,2021-08-21.17:32:32
pokec,1632804,30622564,1,3,1865.183893,0,100000,113.684673,86315,0,6855812,86315,-1,2021-08-21.17:32:56
rmat-1m-8m,999760,7810950,1,3,394.172948,0,100000,342.237865,100700,0,45475292,100700,-1,2021-08-21.17:33:01
ssca2,1048577,157877986,1,3,1938.716783,0,100000,1051.538087,1587477,0,240467070,1587477,-1,2021-08-21.17:33:58
wiki-links,5710993,130160392,1,3,9996.624111,0,100000,980.029206,190080,0,105176426,190080,-1,2021-08-21.17:36:13
wikitalk,2394385,5021410,1,3,468.754720,0,100000,327.404337,100549,0,22589898,100549,-1,2021-08-21.17:36:16
wiki_talk_en,2987536,24981163,1,3,678.758233,0,100000,686.316136,101164,0,42366250,101164,-1,2021-08-21.17:36:24
ba-1m-8m,1000000,7999964,1,2,654.894500,100000,0,1194.548415,21912,111366,1851717,0,-1,2021-08-21.17:36:41
baidu,2141301,17794839,1,2,1391.939131,100000,0,381.784908,98124,119281,9910155,0,-1,2021-08-21.17:37:07
dbpedia,3966925,13820853,1,2,1684.047856,100000,0,321.212257,100634,116831,1689054,0,-1,2021-08-21.17:37:27
er-1m-8m,1000000,8000000,1,2,950.394775,100000,0,338.820482,40176,55901,673785,0,-1,2021-08-21.17:37:46
livej,4847571,68993773,1,2,4879.057290,100000,0,511.842515,113711,141487,11541564,0,-1,2021-08-21.17:38:43
patent,6009555,16518948,1,2,3484.995484,100000,0,678.497905,107647,158644,2455226,0,-1,2021-08-21.17:39:24
pokec,1632804,30622564,1,2,1837.022621,100000,0,524.458134,86007,126296,6127948,0,-1,2021-08-21.17:39:53
rmat-1m-8m,999760,7810950,1,2,430.502090,100000,0,332.562164,99425,119156,28048584,0,-1,2021-08-21.17:39:58
ssca2,1048577,157877986,1,2,1055.134885,100000,0,2147.638774,1590649,1650975,125299992,0,-1,2021-08-21.17:41:02
wiki-links,5710993,130160392,1,2,9769.323142,100000,0,1019.845984,184996,202184,54555189,0,-1,2021-08-21.17:43:25
wikitalk,2394385,5021410,1,2,556.242723,100000,0,302.469079,100468,105622,14740359,0,-1,2021-08-21.17:43:30
wiki_talk_en,2987536,24981163,1,2,785.052497,100000,0,464.306642,101095,107096,26127382,0,-1,2021-08-21.17:43:38
ba-1m-8m,1000000,7999964,1,3,750.072235,100000,0,258.753059,21878,167125,1878088,359772,-1,2021-08-21.17:43:45
