model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
baidu,2141301,17014946,16,4,1485.819621,500000,0,1217.279368,499256,705506,53052580,196,218,142253,-1,-1,-1,2022-10-04.17:14:50
baidu,2141301,17014946,16,4,1485.369172,0,500000,513.337673,479368,0,28727223,0,0,0,-1,-1,-1,2022-10-04.17:15:20
baidu,-1,-1,16,41,-1,500000,500000,-1,-1,-1,-1,-1,-1,-1,-1,2863.64,2907.31,2022-10-04.17:16:22
baidu,2141301,17014946,16,4,1482.430042,600000,0,1807.348530,600935,865842,74085636,461,542,188485,-1,-1,-1,2022-10-04.17:16:55
baidu,2141301,17014946,16,4,1497.215178,0,600000,664.430304,577449,0,36334401,0,0,0,-1,-1,-1,2022-10-04.17:17:25
baidu,-1,-1,16,41,-1,600000,600000,-1,-1,-1,-1,-1,-1,-1,-1,3289.95,3518.77,2022-10-04.17:18:28
baidu,2141301,17014946,16,4,1483.467320,700000,0,1853.821975,699908,1012786,84723982,547,656,223264,-1,-1,-1,2022-10-04.17:19:00
baidu,2141301,17014946,16,4,1499.643745,0,700000,716.751927,670823,0,42720753,0,0,0,-1,-1,-1,2022-10-04.17:19:30
baidu,-1,-1,16,41,-1,700000,700000,-1,-1,-1,-1,-1,-1,-1,-1,3774.99,3960.93,2022-10-04.17:20:35
baidu,2141301,17014946,16,4,1482.089867,800000,0,3128.645297,801420,1192436,114349795,1077,1320,290924,-1,-1,-1,2022-10-04.17:21:09
baidu,2141301,17014946,16,4,1505.640473,0,800000,840.285086,769193,0,48600540,0,0,0,-1,-1,-1,2022-10-04.17:21:39
baidu,-1,-1,16,41,-1,800000,800000,-1,-1,-1,-1,-1,-1,-1,-1,4379.76,4670.65,2022-10-04.17:22:45
baidu,2141301,17014946,16,4,1480.044612,900000,0,3425.971869,899436,1330645,121087952,1074,1260,318168,-1,-1,-1,2022-10-04.17:23:19
baidu,2141301,17014946,16,4,1514.167105,0,900000,892.818370,863508,0,56160325,0,0,0,-1,-1,-1,2022-10-04.17:23:49
baidu,-1,-1,16,41,-1,900000,900000,-1,-1,-1,-1,-1,-1,-1,-1,4521.06,5142.86,2022-10-04.17:24:57
baidu,2141301,17014946,16,4,1502.370396,1000000,0,2736.654480,1002014,1454081,121236366,707,865,322423,-1,-1,-1,2022-10-04.17:25:30
baidu,2141301,17014946,16,4,1514.096428,0,1000000,1039.900541,961051,0,60972600,0,0,0,-1,-1,-1,2022-10-04.17:26:00
baidu,-1,-1,16,41,-1,1000000,1000000,-1,-1,-1,-1,-1,-1,-1,-1,5073.78,5733.18,2022-10-04.17:27:09
dbpedia,3966925,12610982,16,4,1967.208597,100000,0,104.072686,97955,125060,1344829,13,13,16598,-1,-1,-1,2022-10-04.17:27:29
dbpedia,3966925,12610982,16,4,1953.979912,0,100000,433.221835,100772,0,906592,0,0,0,-1,-1,-1,2022-10-04.17:27:49
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,879.967,430.989,2022-10-04.17:28:32
dbpedia,3966925,12610982,16,4,1976.795893,200000,0,194.493552,197623,253459,3430727,33,37,35031,-1,-1,-1,2022-10-04.17:28:52
dbpedia,3966925,12610982,16,4,1946.122454,0,200000,873.778460,202277,0,1935946,0,0,0,-1,-1,-1,2022-10-04.17:29:13
dbpedia,-1,-1,16,41,-1,200000,200000,-1,-1,-1,-1,-1,-1,-1,-1,999.24,747.102,2022-10-04.17:29:56
dbpedia,3966925,12610982,16,4,1978.594641,300000,0,286.655619,297833,383954,5619150,52,58,54576,-1,-1,-1,2022-10-04.17:30:17
dbpedia,3966925,12610982,16,4,1958.120504,0,300000,1302.407265,304358,0,2965094,0,0,0,-1,-1,-1,2022-10-04.17:30:38
dbpedia,-1,-1,16,41,-1,300000,300000,-1,-1,-1,-1,-1,-1,-1,-1,1295.67,1096.03,2022-10-04.17:31:22
dbpedia,3966925,12610982,16,4,1999.783211,400000,0,295.006223,402950,529850,7397384,190,214,84472,-1,-1,-1,2022-10-04.17:31:43
dbpedia,3966925,12610982,16,4,1964.777649,0,400000,1723.187405,411517,0,4314556,0,0,0,-1,-1,-1,2022-10-04.17:32:04
dbpedia,-1,-1,16,41,-1,400000,400000,-1,-1,-1,-1,-1,-1,-1,-1,1452.04,1552.84,2022-10-04.17:32:50
dbpedia,3966925,12610982,16,4,1993.639524,500000,0,337.338403,500350,667300,9602575,296,340,113231,-1,-1,-1,2022-10-04.17:33:11
dbpedia,3966925,12610982,16,4,1979.058006,0,500000,2144.478887,512240,0,5897043,0,0,0,-1,-1,-1,2022-10-04.17:33:32
dbpedia,-1,-1,16,41,-1,500000,500000,-1,-1,-1,-1,-1,-1,-1,-1,1882.2,1860.8,2022-10-04.17:34:19
dbpedia,3966925,12610982,16,4,2005.423880,600000,0,418.375453,599556,802051,12303518,315,337,137110,-1,-1,-1,2022-10-04.17:34:40
dbpedia,3966925,12610982,16,4,2002.453222,0,600000,2549.353620,612657,0,7242289,0,0,0,-1,-1,-1,2022-10-04.17:35:02
dbpedia,-1,-1,16,41,-1,600000,600000,-1,-1,-1,-1,-1,-1,-1,-1,2397.55,2282.5,2022-10-04.17:35:51
dbpedia,3966925,12610982,16,4,2010.576514,700000,0,490.843324,696628,946341,14563542,536,622,173997,-1,-1,-1,2022-10-04.17:36:12
dbpedia,3966925,12610982,16,4,1985.202483,0,700000,2969.612219,712742,0,8169610,0,0,0,-1,-1,-1,2022-10-04.17:36:34
dbpedia,-1,-1,16,41,-1,700000,700000,-1,-1,-1,-1,-1,-1,-1,-1,2268.85,2513.42,2022-10-04.17:37:23
dbpedia,3966925,12610982,16,4,1996.099340,800000,0,552.404101,796933,1084720,16949246,642,726,202343,-1,-1,-1,2022-10-04.17:37:45
dbpedia,3966925,12610982,16,4,1978.293530,0,800000,3415.046649,813571,0,9542918,0,0,0,-1,-1,-1,2022-10-04.17:38:07
dbpedia,-1,-1,16,41,-1,800000,800000,-1,-1,-1,-1,-1,-1,-1,-1,2414.06,3099.79,2022-10-04.17:38:58
dbpedia,3966925,12610982,16,4,2019.043206,900000,0,530.543360,893682,1221781,19061952,779,871,231616,-1,-1,-1,2022-10-04.17:39:19
dbpedia,3966925,12610982,16,4,1981.684854,0,900000,3798.736539,913731,0,10436565,0,0,0,-1,-1,-1,2022-10-04.17:39:42
dbpedia,-1,-1,16,41,-1,900000,900000,-1,-1,-1,-1,-1,-1,-1,-1,2560.95,3320.11,2022-10-04.17:40:33
dbpedia,3966925,12610982,16,4,2019.409226,1000000,0,722.143905,991470,1381233,22977961,1267,1566,285176,-1,-1,-1,2022-10-04.17:40:55
dbpedia,3966925,12610982,16,4,2009.845664,0,1000000,4191.565582,1013372,0,11477399,0,0,0,-1,-1,-1,2022-10-04.17:41:18
dbpedia,-1,-1,16,41,-1,1000000,1000000,-1,-1,-1,-1,-1,-1,-1,-1,2781.08,3788.24,2022-10-04.17:42:10
er-1m-8m,1000000,7999963,16,4,837.073575,100000,0,34.404407,38098,64649,524842,0,0,15213,-1,-1,-1,2022-10-04.17:42:23
er-1m-8m,1000000,7999963,16,4,850.393668,0,100000,23.235084,34059,0,323563,0,0,0,-1,-1,-1,2022-10-04.17:42:33
er-1m-8m,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2152.14,213.176,2022-10-04.17:42:58
er-1m-8m,1000000,7999963,16,4,840.651091,200000,0,63.482557,104604,170823,1400071,4,4,41862,-1,-1,-1,2022-10-04.17:43:11
er-1m-8m,1000000,7999963,16,4,840.693879,0,200000,55.819858,88915,0,851118,0,0,0,-1,-1,-1,2022-10-04.17:43:22
er-1m-8m,-1,-1,16,41,-1,200000,200000,-1,-1,-1,-1,-1,-1,-1,-1,3157.32,483.209,2022-10-04.17:43:48
er-1m-8m,1000000,7999963,16,4,834.063779,300000,0,51091.072318,901016,9301431,131489289,132149,191974,9186196,-1,-1,-1,2022-10-04.18:43:48
er-1m-8m,1000000,7999963,16,4,844.732679,0,300000,347.201686,677243,0,11993990,0,0,0,-1,-1,-1,2022-10-04.18:43:59
er-1m-8m,-1,-1,16,41,-1,300000,300000,-1,-1,-1,-1,-1,-1,-1,-1,3520.2,1301.48,2022-10-04.18:44:28
er-1m-8m,1000000,7999963,16,4,828.174312,400000,0,293975.439612,893586,48636704,692821812,776800,1156103,52825418,-1,-1,-1,2022-10-04.19:44:28
er-1m-8m,1000000,7999963,16,4,848.221208,0,400000,361.372100,690737,0,12188019,0,0,0,-1,-1,-1,2022-10-04.19:44:39
er-1m-8m,-1,-1,16,41,-1,400000,400000,-1,-1,-1,-1,-1,-1,-1,-1,4534.87,1272.55,2022-10-04.19:45:08
er-1m-8m,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,`group_id,-1,-1,2022-10-04.20:04:11
er-1m-8m,1000000,7999963,16,4,848.082957,0,500000,339.225507,647378,0,11430362,0,0,0,-1,-1,-1,2022-10-04.20:04:22
er-1m-8m,-1,-1,16,41,-1,500000,500000,-1,-1,-1,-1,-1,-1,-1,-1,5032.62,1421.93,2022-10-04.20:04:53
er-1m-8m,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,`group_id,-1,-1,2022-10-04.20:28:34
er-1m-8m,1000000,7999963,16,4,847.975385,0,600000,334.498459,665056,0,11206729,0,0,0,-1,-1,-1,2022-10-04.20:28:45
er-1m-8m,-1,-1,16,41,-1,600000,600000,-1,-1,-1,-1,-1,-1,-1,-1,5567.13,1565.29,2022-10-04.20:29:17
er-1m-8m,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,`group_id,-1,-1,2022-10-04.20:53:29
