model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
ba-1m-8m,1000000,7999964,1,2,769.987388,100000,0,2137.138068,21975,112050,1858021,0,-1,2021-08-18.22:38:16
baidu,2141301,17794839,1,2,1665.946645,100000,0,502.242041,102719,124311,14598085,0,-1,2021-08-18.22:38:49
dbpedia,3966925,13820853,1,2,2193.793240,100000,0,635.407904,101609,117978,1758769,0,-1,2021-08-18.22:39:13
er-1m-8m,1000000,8000000,1,2,1003.028742,100000,0,949.744936,39438,55136,663152,0,-1,2021-08-18.22:39:36
livej,4847571,68993773,1,2,5049.702383,100000,0,1054.647565,113109,140625,11024715,0,-1,2021-08-18.22:40:44
patent,6009555,16518948,1,2,3599.490575,100000,0,995.458592,107430,158375,2429648,0,-1,2021-08-18.22:41:47
pokec,1632804,30622564,1,2,2188.230121,100000,0,601.726928,86558,127678,6194129,0,-1,2021-08-18.22:42:24
rmat-1m-8m,999760,7810950,1,2,539.592896,100000,0,482.611421,100558,120548,30778090,0,-1,2021-08-18.22:42:29
ssca2,1048577,157877986,1,2,1419.056219,100000,0,2398.784063,1589692,1649666,125276686,0,-1,2021-08-18.22:43:51
wiki-links,5710993,130160392,1,2,9266.457989,100000,0,1107.888742,185791,202380,53806391,0,-1,2021-08-18.22:46:48
wikitalk,2394385,5021410,1,2,805.436647,100000,0,486.865529,100565,105659,14714008,0,-1,2021-08-18.22:47:02
wiki_talk_en,2987536,24981163,1,2,1101.149244,100000,0,631.824994,99961,105769,21295302,0,-1,2021-08-18.22:47:21
ba-1m-8m,1000000,7999964,1,3,856.262135,100000,0,326.804226,21920,167526,1869143,362803,-1,2021-08-18.22:47:27
baidu,2141301,17794839,1,3,1569.862095,100000,0,374.885297,102933,137075,14536982,816665,-1,2021-08-18.22:48:00
dbpedia,3966925,13820853,1,3,1986.103988,100000,0,144.802389,101069,128291,1649743,1110373,-1,2021-08-18.22:48:20
er-1m-8m,1000000,8000000,1,3,1174.095834,100000,0,105.950712,39427,67087,666171,433324,-1,2021-08-18.22:48:32
livej,4847571,68993773,1,3,5166.862866,100000,0,498.835239,114984,160533,11639382,779089,-1,2021-08-18.22:49:44
patent,6009555,16518948,1,3,3802.907213,100000,0,279.796725,108114,186143,2517143,1038476,-1,2021-08-18.22:50:41
pokec,1632804,30622564,1,3,2325.934402,100000,0,272.425158,86306,149250,6204214,721662,-1,2021-08-18.22:51:13
rmat-1m-8m,999760,7810950,1,3,539.424123,100000,0,448.912284,100866,134627,31446286,638034,-1,2021-08-18.22:51:25
ssca2,1048577,157877986,1,3,2222.871512,100000,0,11028.007881,1584129,1676697,125666048,11948756,-1,2021-08-18.22:52:49
wiki-links,5710993,130160392,1,3,10272.963961,100000,0,5331.881953,186014,214640,56759895,762742,-1,2021-08-18.22:55:39
wikitalk,2394385,5021410,1,3,659.575777,100000,0,305.196180,100630,109549,15323857,1075356,-1,2021-08-18.22:55:43
wiki_talk_en,2987536,24981163,1,3,871.184650,100000,0,442.922721,99991,109677,21623570,947581,-1,2021-08-18.22:55:52
ba-1m-8m,1000000,7999964,1,2,772.385553,0,100000,449.035919,21972,0,154155,0,-1,2021-08-18.22:56:08
baidu,2141301,17794839,1,2,1651.485421,0,100000,434.400938,98377,0,5881566,0,-1,2021-08-18.22:56:41
dbpedia,3966925,13820853,1,2,2196.867398,0,100000,919.918892,100661,0,964458,0,-1,2021-08-18.22:57:04
er-1m-8m,1000000,8000000,1,2,970.379929,0,100000,462.567477,39181,0,431675,0,-1,2021-08-18.22:57:25
livej,4847571,68993773,1,2,5149.088009,0,100000,476.142395,112479,0,8444776,0,-1,2021-08-18.22:58:33
patent,6009555,16518948,1,2,3704.267635,0,100000,451.623794,108073,0,1532852,0,-1,2021-08-18.22:59:20
pokec,1632804,30622564,1,2,1996.171957,0,100000,401.007011,85366,0,3326826,0,-1,2021-08-18.22:59:54
rmat-1m-8m,999760,7810950,1,2,562.168486,0,100000,420.019888,100518,0,22680848,0,-1,2021-08-18.23:00:02
ssca2,1048577,157877986,1,2,1372.604967,0,100000,2038.851517,1592356,0,120571904,0,-1,2021-08-18.23:01:23
wiki-links,5710993,130160392,1,2,8802.207682,0,100000,1226.992365,186314,0,50028334,0,-1,2021-08-18.23:04:16
wikitalk,2394385,5021410,1,2,827.288901,0,100000,459.971659,100684,0,11124830,0,-1,2021-08-18.23:04:21
wiki_talk_en,2987536,24981163,1,2,1073.144467,0,100000,779.044456,100008,0,17114449,0,-1,2021-08-18.23:04:58
ba-1m-8m,1000000,7999964,1,3,973.894536,0,100000,1230.819832,21759,0,152565,21759,-1,2021-08-18.23:05:05
baidu,2141301,17794839,1,3,1620.756432,0,100000,391.018009,102961,0,10480263,102961,-1,2021-08-18.23:05:37
dbpedia,3966925,13820853,1,3,1977.299546,0,100000,2867.052069,100891,0,983737,100891,-1,2021-08-18.23:06:00
er-1m-8m,1000000,8000000,1,3,1247.824585,0,100000,51.397133,39186,0,430884,39186,-1,2021-08-18.23:06:12
livej,4847571,68993773,1,3,5571.817974,0,100000,139468.786915,112737,0,8241298,112737,-1,2021-08-18.23:09:35
patent,6009555,16518948,1,3,4088.977778,0,100000,101.091919,107140,0,1534695,107140,-1,2021-08-18.23:10:32
pokec,1632804,30622564,1,3,2132.571149,0,100000,145.079233,85265,0,3338203,85265,-1,2021-08-18.23:11:04
rmat-1m-8m,999760,7810950,1,3,533.255799,0,100000,470.962147,100590,0,22618139,100590,-1,2021-08-18.23:11:08
ssca2,1048577,157877986,1,3,2160.913577,0,100000,1228.743531,1587674,0,120199260,1587674,-1,2021-08-18.23:12:23
wiki-links,5710993,130160392,1,3,10279.602472,0,100000,1265.257249,186280,0,48504512,186280,-1,2021-08-18.23:15:13
wikitalk,2394385,5021410,1,3,639.177370,0,100000,388.026699,99994,0,9370852,99994,-1,2021-08-18.23:15:17
wiki_talk_en,2987536,24981163,1,3,879.278178,0,100000,91057.006854,100102,0,17300112,100102,-1,2021-08-18.23:16:56
ba-1m-8m,1000000,7999964,1,2,765.353093,100000,0,2049.153800,22005,111789,1877378,0,-1,2021-08-18.23:17:14
baidu,2141301,17794839,1,2,1644.094057,100000,0,430.836281,98385,119242,9858513,0,-1,2021-08-18.23:17:47
dbpedia,3966925,13820853,1,2,2154.848877,100000,0,541.217107,100962,117393,1759018,0,-1,2021-08-18.23:18:10
er-1m-8m,1000000,8000000,1,2,974.126292,100000,0,813.282629,39318,54984,661159,0,-1,2021-08-18.23:18:32
livej,4847571,68993773,1,2,5158.073091,100000,0,1151.565596,112913,141088,11210741,0,-1,2021-08-18.23:19:40
patent,6009555,16518948,1,2,3586.891068,100000,0,1011.854427,106487,156489,2421583,0,-1,2021-08-18.23:20:41
pokec,1632804,30622564,1,2,2060.067389,100000,0,608.521930,87224,127300,6153586,0,-1,2021-08-18.23:21:17
rmat-1m-8m,999760,7810950,1,2,563.507822,100000,0,470.264266,100769,120488,30458365,0,-1,2021-08-18.23:21:22
ssca2,1048577,157877986,1,2,1317.767499,100000,0,2391.729145,1584093,1645101,124799450,0,-1,2021-08-18.23:22:44
wiki-links,5710993,130160392,1,2,9300.553403,100000,0,1146.706386,188967,205852,56115333,0,-1,2021-08-18.23:25:34
wikitalk,2394385,5021410,1,2,758.847531,100000,0,569.622268,99886,105010,12819306,0,-1,2021-08-18.23:25:39
wiki_talk_en,2987536,24981163,1,2,1077.531520,100000,0,771.020151,101013,106792,25615278,0,-1,2021-08-18.23:26:04
