I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,2,20,0,32,218.535668,38.011393,66.842710,520.932460,0,10000000,0,0,0,0
10000000,2,21,0,32,245.144008,25.849127,48.349770,494.155333,125060,11750840,0,62530,0,0
10000000,2,22,0,32,430.109924,1.498315,53.517203,418.921590,6295890,19990848,0,356816,2485,0
10000000,2,23,0,32,3553.768607,2.269958,12.802523,4479.516979,99024410,19999976,0,357142,713076,0
20000000,2,20,0,32,418.370577,70.367793,143.706232,1042.892547,0,20000000,0,0,0,0
20000000,2,21,0,32,414.058961,56.465461,113.879593,1007.069148,250752,23510528,0,125376,0,0
20000000,2,22,0,32,774.035614,3.055772,80.292812,872.584064,12569883,39981724,0,713633,2485,0
20000000,2,23,0,32,13507.816331,3.928750,25.427259,14743.729036,747282369,39999980,0,714285,1428731,0
30000000,2,20,0,32,623.752958,115.465902,220.099936,1599.227222,0,30000000,0,0,0,0
30000000,2,21,0,32,608.745659,90.584456,192.560815,1523.752450,374852,35247928,0,187426,0,0
30000000,2,22,0,32,1072.761941,4.244843,122.348070,1288.882526,18927737,59972768,0,1070456,3780,0
30000000,2,23,0,32,36910.868840,5.336560,40.018960,37239.066241,2562502848,59999984,0,1071428,2143437,0
40000000,2,20,0,32,828.497824,191.704369,302.342153,2075.294346,0,40000000,0,0,0,0
40000000,2,21,0,32,800.240013,125.853192,277.938308,2041.336958,499594,46994316,0,249797,0,0
40000000,2,22,0,32,1295.499198,5.748519,161.441561,1752.228538,25218629,79963840,0,1427280,3780,0
40000000,2,23,0,32,83157.399623,6.407097,56.879060,85949.212189,1923922989,79999988,0,1428571,2858796,0
50000000,2,20,0,32,1020.049335,295.473288,387.164043,2658.442261,0,50000000,0,0,0,0
50000000,2,21,0,32,1000.774080,162.678565,369.931889,2491.355676,625654,58759156,0,312827,0,0
50000000,2,22,0,32,1482.108927,7.078436,202.151093,2229.162486,31504607,99953848,0,1784066,3780,0
50000000,2,23,0,32,151605.377698,7.091387,70.175726,155879.266571,3250080707,99999992,0,1785714,3573982,0
60000000,2,20,0,32,1215.266288,403.696809,476.099542,3185.996357,0,60000000,0,0,0,0
60000000,2,21,0,32,1199.029355,200.275236,458.202447,3082.272717,750224,70503136,0,375112,0,0
60000000,2,22,0,32,1856.814999,11.010926,241.588745,2680.769932,37809645,119944976,0,2140892,3780,0
60000000,2,23,0,32,250662.836012,7.743375,80.941843,258436.676459,2793955190,119999996,0,2142857,4289756,0
70000000,2,20,0,32,1411.693570,505.621936,568.184343,3628.087327,0,70000000,0,0,0,0
70000000,2,21,0,32,1396.459011,237.698234,553.674537,3704.595757,875280,82253920,0,437640,0,0
70000000,2,22,0,32,2064.564897,10.738605,301.550097,3166.255084,44093458,139935824,0,2497708,3780,0
70000000,2,23,0,32,391956.370660,9.732612,100.430285,398099.795454,1562569741,139999972,0,2499999,5005673,0
80000000,2,20,0,32,1605.464180,605.385882,661.360264,4145.618710,0,80000000,0,0,0,0
80000000,2,21,0,32,1593.760234,275.452588,641.540606,4123.733973,1002836,94039704,0,501418,0,0
80000000,2,22,0,32,2252.750686,12.211409,321.940498,3695.991986,50446065,159926364,0,2854513,3780,0
80000000,2,23,0,32,588389.160568,10.489211,115.521241,535387.654349,431166820,159999976,0,2857142,5721738,0
