model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,snum,assert,date
wiki-links,5710993,130160392,1,2,5658.480448,100000,0,536.575565,110030,126095,13710232,0,-1,51200000,-1,2021-10-14.02:37:14
wiki-links,5710993,130160392,1,2,9168.230399,100000,0,750.824532,128984,142097,33339309,0,-1,102400000,-1,2021-10-14.02:39:33
wikitalk,2394385,5021410,1,2,180.630164,100000,0,162.849388,107005,123903,570329,0,-1,100000,-1,2021-10-14.02:39:35
wikitalk,2394385,5021410,1,2,199.301831,100000,0,152.659707,100738,112627,962027,0,-1,200000,-1,2021-10-14.02:39:37
wikitalk,2394385,5021410,1,2,222.795565,100000,0,163.238540,101010,110950,1830554,0,-1,400000,-1,2021-10-14.02:39:39
wikitalk,2394385,5021410,1,2,261.605894,100000,0,175.673839,100835,108364,3020485,0,-1,800000,-1,2021-10-14.02:39:42
wikitalk,2394385,5021410,1,2,323.604159,100000,0,207.212769,100563,106443,5335020,0,-1,1600000,-1,2021-10-14.02:39:44
wikitalk,2394385,5021410,1,2,438.074883,100000,0,263.594890,100686,106272,10351174,0,-1,3200000,-1,2021-10-14.02:39:48
wikitalk,2394385,5021410,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.02:39:49
wikitalk,2394385,5021410,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.02:39:51
wikitalk,2394385,5021410,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.02:39:52
wikitalk,2394385,5021410,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.02:39:54
wikitalk,2394385,5021410,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.02:39:55
wiki_talk_en,2987536,24981163,1,2,234.768180,100000,0,172.853665,107458,129364,683408,0,-1,100000,-1,2021-10-14.02:40:00
wiki_talk_en,2987536,24981163,1,2,249.527471,100000,0,164.165300,101253,118992,1025967,0,-1,200000,-1,2021-10-14.02:40:05
wiki_talk_en,2987536,24981163,1,2,274.825470,100000,0,165.969605,100492,112802,1628410,0,-1,400000,-1,2021-10-14.02:40:10
wiki_talk_en,2987536,24981163,1,2,308.621223,100000,0,183.512992,100096,110026,2784711,0,-1,800000,-1,2021-10-14.02:40:16
wiki_talk_en,2987536,24981163,1,2,366.893974,100000,0,226.577631,100798,109002,5684698,0,-1,1600000,-1,2021-10-14.02:40:21
wiki_talk_en,2987536,24981163,1,2,474.736819,100000,0,268.455855,99781,106715,9207877,0,-1,3200000,-1,2021-10-14.02:40:28
wiki_talk_en,2987536,24981163,1,2,666.894737,100000,0,402.063989,100642,106660,20382536,0,-1,6400000,-1,2021-10-14.02:40:35
wiki_talk_en,2987536,24981163,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.02:40:39
