model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
ba-1m-8m,-1,-1,1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-01-05.18:26:18
baidu,2141300,17014947,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,48822.308483,2764.196159,2023-01-05.18:27:19
dbpedia,3966924,12610983,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,105879.110056,2120.164723,2023-01-05.18:29:18
er-1m-8m,-1,-1,1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-01-05.18:29:21
livej,-1,-1,1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-01-05.18:32:49
patent,-1,-1,1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-01-05.19:46:48
pokec,1632803,22301965,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2160398.265735,5932,2023-01-05.20:22:58
rmat-1m-8m,999759,7810951,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,23774.510718,1776,2023-01-05.20:23:25
roadNetCA,1971280,2766608,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,12506.337958,84.478113,2023-01-05.20:23:40
wiki-links,5710992,104738324,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,61356.773757,4500.030119,2023-01-05.20:25:52
wikitalk,2394384,4659566,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,8758.89881,923.896967,2023-01-05.20:26:05
wiki_talk_en,2987535,8146545,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,49562.075559,2117,2023-01-05.20:26:59
ba-1m-8m,-1,-1,1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,961381,10228,2023-01-06.13:17:33
ba-1m-8m,-1,-1,1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-01-06.14:17:33
baidu,-1,-1,1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14424,6095,2023-01-06.14:21:30
baidu,2141300,17014947,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,48961.521058,3188.49173,2023-01-06.14:22:33
dbpedia,-1,-1,1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23894,35256,2023-01-06.14:40:06
dbpedia,3966924,12610983,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,105121.420095,2216.442046,2023-01-06.14:42:05
er-1m-8m,-1,-1,1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80152,1364,2023-01-06.14:44:05
er-1m-8m,-1,-1,1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-01-06.14:44:09
livej,-1,-1,1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12955,2412,2023-01-06.14:46:27
livej,-1,-1,1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-01-06.14:49:56
patent,-1,-1,1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25915,1200,2023-01-06.14:51:22
patent,-1,-1,1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-01-06.15:51:22
pokec,-1,-1,1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32763,1734,2023-01-06.15:53:00
pokec,1632803,22301965,1,43,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2077096.936156,5866.366907,2023-01-06.16:27:56
rmat-1m-8m,-1,-1,1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7217,3631,2023-01-06.16:29:16
