model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
ba-1m-8m,1000000,7999964,1,3,726.394506,100000,0,185.018453,22033,167457,1865210,364584,-1,-1,2021-10-09.07:58:10
baidu,2141301,17794839,1,3,1319.121981,100000,0,216.848144,98807,132015,9883500,819672,-1,-1,2021-10-09.07:58:35
dbpedia,3966925,13820853,1,3,1570.751828,100000,0,134.719579,101527,128054,1759289,1129685,-1,-1,2021-10-09.07:58:52
er-1m-8m,1000000,8000000,1,3,885.203822,100000,0,87.616429,39208,65745,653450,449137,-1,-1,2021-10-09.07:59:01
livej,4847571,68993773,1,3,4870.269770,100000,0,253.728023,112707,159446,11053521,774912,-1,-1,2021-10-09.07:59:52
patent,6009555,16518948,1,3,3294.882116,100000,0,201.584717,108597,185272,2485687,1021931,-1,-1,2021-10-09.08:00:26
pokec,1632804,30622564,1,3,1739.946643,100000,0,201.571628,87110,147256,5982527,733338,-1,-1,2021-10-09.08:00:50
rmat-1m-8m,999760,7810950,1,3,390.025608,100000,0,277.748584,100519,134065,30837338,634978,-1,-1,2021-10-09.08:00:55
roadNetCA,1971281,5533214,1,3,531.191089,100000,0,100.101118,61743,255029,625662,903464,-1,-1,2021-10-09.08:00:59
ssca2,1048577,157877986,1,3,952.713112,100000,0,2361.801531,1590988,1678516,125880098,11946913,-1,-1,2021-10-09.08:01:56
wiki-links,5710993,130160392,1,3,9125.536373,100000,0,798.145971,186616,215671,56453561,764614,-1,-1,2021-10-09.08:04:09
wikitalk,2394385,5021410,1,3,430.582227,100000,0,203.292738,99902,108619,13052628,1047711,-1,-1,2021-10-09.08:04:12
wiki_talk_en,2987536,24981163,1,3,644.339940,100000,0,342.115141,101241,110549,25450264,963466,-1,-1,2021-10-09.08:04:19
ba-1m-8m,1000000,7999964,1,13,554.717671,100000,0,241.785944,22246,156000,1700977,104325,5,-1,2021-10-09.08:04:26
baidu,2141301,17794839,1,13,1291.567882,100000,0,214.627690,98592,123134,8048567,112557,5,-1,2021-10-09.08:04:50
dbpedia,3966925,13820853,1,13,1515.017227,100000,0,149.988835,100587,123718,1402052,114241,3,-1,2021-10-09.08:05:07
er-1m-8m,1000000,8000000,1,13,872.883315,100000,0,121.786738,39628,63126,633871,52624,4,-1,2021-10-09.08:05:16
livej,4847571,68993773,1,13,4646.938856,100000,0,292.249961,111533,151558,10241189,135055,5,-1,2021-10-09.08:06:07
patent,6009555,16518948,1,13,3244.291357,100000,0,255.040456,108269,174464,2311106,150721,3,-1,2021-10-09.08:06:40
pokec,1632804,30622564,1,13,1684.076197,100000,0,213.594884,85936,133639,5186789,114960,4,-1,2021-10-09.08:07:04
rmat-1m-8m,999760,7810950,1,13,388.391727,100000,0,282.457038,100627,119302,26027511,110863,10,-1,2021-10-09.08:07:10
roadNetCA,1971281,5533214,1,13,526.472336,100000,0,158.817986,61693,232787,567084,188378,3,-1,2021-10-09.08:07:13
ssca2,1048577,157877986,1,13,953.671269,100000,0,1875.441911,1595997,1599143,121117611,2384830,5,-1,2021-10-09.08:08:10
wiki-links,5710993,130160392,1,13,9060.442058,100000,0,970.424183,190510,212610,59486357,202842,5,-1,2021-10-09.08:10:23
wikitalk,2394385,5021410,1,13,422.189774,100000,0,184.976721,100665,105318,12498356,103263,9,-1,2021-10-09.08:10:26
wiki_talk_en,2987536,24981163,1,13,623.366516,100000,0,268.892527,100113,105145,18581595,102842,8,-1,2021-10-09.08:10:33
ba-1m-8m,1000000,7999964,1,2,624.249327,100000,0,1234.372427,21919,111655,1866708,0,-1,-1,2021-10-09.08:10:50
baidu,2141301,17794839,1,2,1342.582506,100000,0,391.850289,98591,120277,10276715,0,-1,-1,2021-10-09.08:11:17
dbpedia,3966925,13820853,1,2,1629.444273,100000,0,321.061092,100440,117015,1691454,0,-1,-1,2021-10-09.08:11:36
er-1m-8m,1000000,8000000,1,2,928.501818,100000,0,333.100149,39436,54989,661246,0,-1,-1,2021-10-09.08:11:55
livej,4847571,68993773,1,2,4693.970561,100000,0,505.141256,112140,139909,11096354,0,-1,-1,2021-10-09.08:12:52
patent,6009555,16518948,1,2,3380.143448,100000,0,677.501514,106002,156836,2397988,0,-1,-1,2021-10-09.08:13:33
pokec,1632804,30622564,1,2,1751.957857,100000,0,527.167769,86284,125432,6001750,0,-1,-1,2021-10-09.08:14:01
rmat-1m-8m,999760,7810950,1,2,416.116110,100000,0,333.062582,99649,119615,28369619,0,-1,-1,2021-10-09.08:14:07
roadNetCA,1971281,5533214,1,2,598.185705,100000,0,455.811935,61146,203533,617007,0,-1,-1,2021-10-09.08:14:13
ssca2,1048577,157877986,1,2,1014.453970,100000,0,2168.459727,1587565,1648017,125202446,0,-1,-1,2021-10-09.08:15:17
wiki-links,5710993,130160392,1,2,9275.865502,100000,0,1041.020047,185214,202385,55861030,0,-1,-1,2021-10-09.08:17:39
wikitalk,2394385,5021410,1,2,530.189693,100000,0,292.842108,100655,105727,14343186,0,-1,-1,2021-10-09.08:17:43
wiki_talk_en,2987536,24981163,1,2,748.130334,100000,0,403.140788,99991,105645,21304618,0,-1,-1,2021-10-09.08:17:51
ba-1m-8m,1000000,7999964,1,3,539.123796,0,100000,34.693480,21747,0,152612,21747,-1,-1,2021-10-09.08:17:57
baidu,2141301,17794839,1,3,1289.132932,0,100000,244.542548,98878,0,6032018,98878,-1,-1,2021-10-09.08:18:22
dbpedia,3966925,13820853,1,3,1509.875076,0,100000,558.019015,101151,0,1053340,101151,-1,-1,2021-10-09.08:18:39
er-1m-8m,1000000,8000000,1,3,859.566318,0,100000,38.748339,39421,0,432930,39421,-1,-1,2021-10-09.08:18:47
livej,4847571,68993773,1,3,4637.628255,0,100000,187.405303,112279,0,8222089,112279,-1,-1,2021-10-09.08:19:38
patent,6009555,16518948,1,3,3301.030915,0,100000,85.094094,107283,0,1511697,107283,-1,-1,2021-10-09.08:20:11
pokec,1632804,30622564,1,3,1702.279563,0,100000,120.388968,85987,0,3444025,85987,-1,-1,2021-10-09.08:20:35
rmat-1m-8m,999760,7810950,1,3,384.026359,0,100000,391.284547,100713,0,22841165,100713,-1,-1,2021-10-09.08:20:40
roadNetCA,1971281,5533214,1,3,512.369338,0,100000,21.050683,61402,0,96024,61402,-1,-1,2021-10-09.08:20:44
ssca2,1048577,157877986,1,3,942.116272,0,100000,1070.774793,1593099,0,120629599,1593099,-1,-1,2021-10-09.08:21:40
