model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
ssca2,1048577,157877986,1,3,2216.303613,100000,0,11178.940776,1592908,1683778,126199942,11884440,-1,2021-08-19.20:24:09
wiki-links,5710993,130160392,1,3,11023.349383,100000,0,7357.398574,189139,219663,62903734,777732,-1,2021-08-19.20:26:57
wikitalk,2394385,5021410,1,3,673.558959,100000,0,344.370153,100566,109527,14950269,1078464,-1,2021-08-19.20:27:01
wiki_talk_en,2987536,24981163,1,3,902.892919,100000,0,482.760931,100058,109641,21731160,957305,-1,2021-08-19.20:27:09
ba-1m-8m,1000000,7999964,1,2,991.290870,0,100000,328.138590,21956,0,154075,0,-1,2021-08-19.20:27:27
baidu,2141301,17794839,1,2,1632.446045,0,100000,512.333542,103374,0,10386462,0,-1,2021-08-19.20:28:01
dbpedia,3966925,13820853,1,2,2182.967067,0,100000,1131.120736,100335,0,1017351,0,-1,2021-08-19.20:28:25
er-1m-8m,1000000,8000000,1,2,1309.670991,0,100000,484.740007,39216,0,431107,0,-1,2021-08-19.20:28:49
livej,4847571,68993773,1,2,5037.937356,0,100000,763.428118,110675,0,8087328,0,-1,2021-08-19.20:29:58
patent,6009555,16518948,1,2,3694.259372,0,100000,475.724666,104765,0,1460533,0,-1,2021-08-19.20:30:46
pokec,1632804,30622564,1,2,2176.350078,0,100000,428.957459,85916,0,3380442,0,-1,2021-08-19.20:31:23
rmat-1m-8m,999760,7810950,1,2,670.477279,0,100000,458.269140,100395,0,22717394,0,-1,2021-08-19.20:31:29
ssca2,1048577,157877986,1,2,1337.420284,0,100000,2065.303146,1596181,0,120720631,0,-1,2021-08-19.20:32:51
wiki-links,5710993,130160392,1,2,9307.220103,0,100000,1218.663106,183407,0,48177387,0,-1,2021-08-19.20:35:43
wikitalk,2394385,5021410,1,2,978.920828,0,100000,605.819072,100636,0,11152021,0,-1,2021-08-19.20:35:57
wiki_talk_en,2987536,24981163,1,2,1363.396326,0,100000,1852.529959,99827,0,17272153,0,-1,2021-08-19.20:36:08
ba-1m-8m,1000000,7999964,1,3,1230.046781,0,100000,48.070849,22121,0,310464,22121,-1,2021-08-19.20:36:15
baidu,2141301,17794839,1,3,1693.394304,0,100000,301.852196,98696,0,12077892,98696,-1,2021-08-19.20:36:47
dbpedia,3966925,13820853,1,3,2096.241233,0,100000,835.065300,101360,0,2199734,101360,-1,2021-08-19.20:37:07
er-1m-8m,1000000,8000000,1,3,1333.312871,0,100000,53.073109,38897,0,856102,38897,-1,2021-08-19.20:37:19
livej,4847571,68993773,1,3,5364.795650,0,100000,410609.614816,112062,0,17128734,112062,-1,2021-08-19.20:45:11
patent,6009555,16518948,1,3,3940.870107,0,100000,101.393580,105542,0,2909884,105542,-1,2021-08-19.20:45:49
pokec,1632804,30622564,1,3,2070.011252,0,100000,142.933595,86009,0,6826840,86009,-1,2021-08-19.20:46:20
rmat-1m-8m,999760,7810950,1,3,583.329707,0,100000,491.033274,100601,0,45108450,100601,-1,2021-08-19.20:46:25
ssca2,1048577,157877986,1,3,2226.628408,0,100000,1229.694834,1589088,0,240829530,1589088,-1,2021-08-19.20:47:40
wiki-links,5710993,130160392,1,3,11299.739279,0,100000,1130.015468,186323,0,99466268,186323,-1,2021-08-19.20:50:24
wikitalk,2394385,5021410,1,3,639.354848,0,100000,106610.398477,100627,0,21954198,100627,-1,2021-08-19.20:52:14
wiki_talk_en,2987536,24981163,1,3,929.231663,0,100000,248469.269083,100115,0,34380428,100115,-1,2021-08-19.20:56:31
ba-1m-8m,1000000,7999964,1,2,973.025926,100000,0,1525.887513,21978,112266,1871364,0,-1,2021-08-19.20:56:50
baidu,2141301,17794839,1,2,1586.044312,100000,0,440.423436,98227,119407,9952215,0,-1,2021-08-19.20:57:24
dbpedia,3966925,13820853,1,2,2550.357696,100000,0,376.907042,101303,117545,1796328,0,-1,2021-08-19.20:57:58
er-1m-8m,1000000,8000000,1,2,1137.810784,100000,0,386.505897,39489,55156,663401,0,-1,2021-08-19.20:58:22
livej,4847571,68993773,1,2,5350.880249,100000,0,1099.177516,111800,140118,10828500,0,-1,2021-08-19.20:59:31
patent,6009555,16518948,1,2,3677.888544,100000,0,849.654779,104650,155319,2363601,0,-1,2021-08-19.21:00:20
pokec,1632804,30622564,1,2,2107.661129,100000,0,634.857905,85992,126230,6025587,0,-1,2021-08-19.21:00:57
rmat-1m-8m,999760,7810950,1,2,651.296584,100000,0,488.362003,100413,119884,30161097,0,-1,2021-08-19.21:01:04
ssca2,1048577,157877986,1,2,1367.630666,100000,0,2436.121377,1594336,1655525,125732962,0,-1,2021-08-19.21:02:26
