model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
baidu,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,990.741,361.373,2022-09-22.17:06:04
dbpedia,3966925,13820853,1,4,1868.745416,100000,0,214.016048,100897,127788,1688737,15,15,16609,-1,-1,-1,2022-09-22.17:06:24
dbpedia,3966925,13820853,1,4,1870.176405,0,100000,947.889116,100897,0,907823,0,0,0,-1,-1,-1,2022-09-22.17:06:44
dbpedia,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1243.82,323.702,2022-09-22.17:07:14
er-1m-8m,1000000,8000000,1,4,774.410179,100000,0,115.537725,39067,65652,652680,0,0,15246,-1,-1,-1,2022-09-22.17:07:26
er-1m-8m,1000000,8000000,1,4,761.415431,0,100000,85.918973,39067,0,429513,0,0,0,-1,-1,-1,2022-09-22.17:07:36
er-1m-8m,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1942.77,189.467,2022-09-22.17:07:52
livej,4847571,68993773,1,4,4756.650814,100000,0,529.473263,114343,160115,11611733,6,6,27945,-1,-1,-1,2022-09-22.17:08:55
livej,4847571,68993773,1,4,4743.043996,0,100000,297.454420,114343,0,8810609,0,0,0,-1,-1,-1,2022-09-22.17:09:56
livej,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1900.96,376.307,2022-09-22.17:11:32
patent,6009555,16518948,1,4,3503.790422,100000,0,319.917791,105994,181783,2412847,26,28,50757,-1,-1,-1,2022-09-22.17:12:16
patent,6009555,16518948,1,4,3517.314367,0,100000,148.587999,105994,0,1491313,0,0,0,-1,-1,-1,2022-09-22.17:12:56
patent,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3525.39,288.633,2022-09-22.17:13:43
pokec,1632804,30622564,1,4,1570.764141,100000,0,422.795850,85001,146159,5823693,31,33,40189,-1,-1,-1,2022-09-22.17:14:14
pokec,1632804,30622564,1,4,1565.086297,0,100000,198.976389,85001,0,3240928,0,0,0,-1,-1,-1,2022-09-22.17:14:42
pokec,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2549.86,316.688,2022-09-22.17:15:30
rmat-1m-8m,999760,7810950,1,4,425.625302,100000,0,705.886908,100572,133889,31016617,10,10,20284,-1,-1,-1,2022-09-22.17:15:34
rmat-1m-8m,999760,7810950,1,4,429.632988,0,100000,671.421560,100572,0,22740887,0,0,0,-1,-1,-1,2022-09-22.17:15:38
