model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
ba-1m-8m,1000000,7999964,1,2,732.208437,100000,0,1358.478019,22210,111559,1849549,0,-1,2021-09-16.21:33:26
baidu,2141301,17794839,1,2,1352.869961,100000,0,393.082881,98940,120204,10193590,0,-1,2021-09-16.21:33:54
dbpedia,3966925,13820853,1,2,1624.725561,100000,0,318.654170,100725,116665,1584282,0,-1,2021-09-16.21:34:13
er-1m-8m,1000000,8000000,1,2,1091.003997,100000,0,338.827282,39349,54812,658225,0,-1,2021-09-16.21:34:32
livej,4847571,68993773,1,2,4788.102485,100000,0,515.021289,114787,142444,11718661,0,-1,2021-09-16.21:35:29
patent,6009555,16518948,1,2,3368.647902,100000,0,676.976821,107335,158343,2438857,0,-1,2021-09-16.21:36:10
pokec,1632804,30622564,1,2,1790.957829,100000,0,525.439218,86834,126986,6126116,0,-1,2021-09-16.21:36:39
rmat-1m-8m,999760,7810950,1,2,421.285372,100000,0,356.199548,100294,120186,30531416,0,-1,2021-09-16.21:36:44
roadNetCA,1971281,5533214,1,2,599.580741,100000,0,455.398835,61610,203564,616531,0,-1,2021-09-16.21:36:50
ssca2,1048577,157877986,1,2,1219.549766,100000,0,2171.174023,1588800,1648121,125146312,0,-1,2021-09-16.21:37:54
wiki-links,5710993,130160392,1,2,9334.440094,100000,0,1048.430419,190148,207929,56642502,0,-1,2021-09-16.21:40:17
wikitalk,2394385,5021410,1,2,532.176774,100000,0,293.112021,100648,105548,13885257,0,-1,2021-09-16.21:40:22
wiki_talk_en,2987536,24981163,1,2,754.849440,100000,0,407.034161,100076,105906,21756774,0,-1,2021-09-16.21:40:30
ba-1m-8m,1000000,7999964,1,3,558.244646,100000,0,159.134521,-32618,166379,1848298,365677,-1,2021-09-16.21:40:36
baidu,2141301,17794839,1,3,1304.462590,100000,0,213.600408,85992,133427,10246942,807743,-1,2021-09-16.21:41:00
dbpedia,3966925,13820853,1,3,1554.845043,100000,0,129.129644,90731,127650,1803607,1110284,-1,2021-09-16.21:41:17
er-1m-8m,1000000,8000000,1,3,1049.850171,100000,0,84.468393,27669,66416,658197,428684,-1,2021-09-16.21:41:26
livej,4847571,68993773,1,3,4693.338099,100000,0,252.688813,96133,160619,11486592,788636,-1,2021-09-16.21:42:18
patent,6009555,16518948,1,3,3305.347170,100000,0,199.791242,81564,183345,2583430,1009043,-1,2021-09-16.21:42:51
pokec,1632804,30622564,1,3,1738.990133,100000,0,195.996681,64510,147558,6054551,717378,-1,2021-09-16.21:43:15
rmat-1m-8m,999760,7810950,1,3,388.902592,100000,0,283.836473,87282,134083,30794199,636226,-1,2021-09-16.21:43:20
roadNetCA,1971281,5533214,1,3,537.051821,100000,0,99.921308,13410,255281,626755,909661,-1,2021-09-16.21:43:23
ssca2,1048577,157877986,1,3,1186.750365,100000,0,2356.801828,1529372,1681093,126142145,11908138,-1,2021-09-16.21:44:21
wiki-links,5710993,130160392,1,3,9227.310546,100000,0,798.776395,169922,214826,59443365,763393,-1,2021-09-16.21:46:36
wikitalk,2394385,5021410,1,3,454.263992,100000,0,219.215317,97090,109446,14727781,1071662,-1,2021-09-16.21:46:39
wiki_talk_en,2987536,24981163,1,3,662.813627,100000,0,291.274481,96329,109675,21379335,938591,-1,2021-09-16.21:46:46
ba-1m-8m,1000000,7999964,1,2,638.019959,0,100000,255.753232,22093,0,309962,0,-1,2021-09-16.21:47:01
baidu,2141301,17794839,1,2,1351.492860,0,100000,429.979493,102426,0,20515586,0,-1,2021-09-16.21:47:28
dbpedia,3966925,13820853,1,2,1621.438191,0,100000,839.100369,100994,0,2013024,0,-1,2021-09-16.21:47:48
er-1m-8m,1000000,8000000,1,2,1091.813245,0,100000,376.833456,39090,0,858742,0,-1,2021-09-16.21:48:06
livej,4847571,68993773,1,2,4741.324798,0,100000,356.813753,111072,0,16503708,0,-1,2021-09-16.21:49:03
patent,6009555,16518948,1,2,3381.907477,0,100000,367.988937,105819,0,2900366,0,-1,2021-09-16.21:49:44
pokec,1632804,30622564,1,2,1780.790137,0,100000,343.743911,86381,0,6905770,0,-1,2021-09-16.21:50:12
rmat-1m-8m,999760,7810950,1,2,421.190831,0,100000,368.957100,100538,0,45483908,0,-1,2021-09-16.21:50:18
roadNetCA,1971281,5533214,1,2,605.477112,0,100000,181.632671,61104,0,191876,0,-1,2021-09-16.21:50:23
ssca2,1048577,157877986,1,2,1214.095624,0,100000,1782.846037,1597661,0,242028476,0,-1,2021-09-16.21:51:27
wiki-links,5710993,130160392,1,2,9350.612653,0,100000,1091.114782,186176,0,98424436,0,-1,2021-09-16.21:53:50
wikitalk,2394385,5021410,1,2,531.829590,0,100000,386.453470,100565,0,22094582,0,-1,2021-09-16.21:53:54
wiki_talk_en,2987536,24981163,1,2,750.989258,0,100000,744.161250,101054,0,42423934,0,-1,2021-09-16.21:54:02
ba-1m-8m,1000000,7999964,1,3,543.575702,0,100000,34.806433,21958,0,153984,21958,-1,2021-09-16.21:54:08
baidu,2141301,17794839,1,3,1305.003704,0,100000,243.425008,99300,0,6135675,99300,-1,2021-09-16.21:54:33
dbpedia,3966925,13820853,1,3,1548.405027,0,100000,564.071475,101053,0,983717,101053,-1,2021-09-16.21:54:50
er-1m-8m,1000000,8000000,1,3,1048.636073,0,100000,38.907397,38707,0,424822,38707,-1,2021-09-16.21:54:59
livej,4847571,68993773,1,3,4702.987826,0,100000,191.141072,113456,0,8268490,113456,-1,2021-09-16.21:55:50
patent,6009555,16518948,1,3,3315.647170,0,100000,84.632575,106490,0,1500838,106490,-1,2021-09-16.21:56:23
pokec,1632804,30622564,1,3,1734.548201,0,100000,119.340009,86318,0,3415871,86318,-1,2021-09-16.21:56:47
rmat-1m-8m,999760,7810950,1,3,392.343453,0,100000,368.050342,99225,0,20464570,99225,-1,2021-09-16.21:56:52
roadNetCA,1971281,5533214,1,3,541.692881,0,100000,22.690093,61192,0,96743,61192,-1,2021-09-16.21:56:55
ssca2,1048577,157877986,1,3,1156.008982,0,100000,1067.978399,1590351,0,120387212,1590351,-1,2021-09-16.21:57:51
wiki-links,5710993,130160392,1,3,9202.876258,0,100000,1059.307429,188565,0,52071275,188565,-1,2021-09-16.22:00:05
