I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,2,20,3,0,1161.108030,677.857853,245.504623,3321.008010,0,10000000,0,0,0,0
10000000,2,21,3,0,1280.296410,696.330975,242.276105,3135.735510,125958,11763412,0,62979,0,0
10000000,2,22,3,0,415.419932,36.702925,157.768056,741.890076,6326761,19991044,0,356823,2485,0
10000000,2,23,3,0,902.240750,36.050338,47.518443,1248.885369,99024410,19999976,0,357142,713076,0
10000000,2,20,0,0,1311.843856,688.255823,841.882122,3294.230455,0,10000000,0,0,0,0
10000000,2,21,0,0,1462.653997,599.671289,829.477708,3215.540332,125846,11761844,0,62923,0,0
10000000,2,22,0,0,452.152689,36.659253,379.267661,787.217057,6327417,19990792,0,356814,3780,0
10000000,2,23,0,0,1084.720443,36.264957,131.042732,1386.262341,99024410,19999976,0,357142,713076,0
10000000,2,20,1,0,1655.739328,681.889374,1147.690611,3367.821855,0,10000000,0,0,0,0
10000000,2,21,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11
10000000,2,22,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11
10000000,2,23,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11
10000000,2,20,0,1,1468.763315,812.161593,852.982923,3364.496193,0,10000000,0,0,0,0
10000000,2,21,0,1,1711.968331,694.864244,836.748635,3244.075561,124994,11749916,0,62497,0,0
10000000,2,22,0,1,451.629916,36.113000,380.152548,777.758636,6288629,19990652,0,356809,2485,0
