model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,date
wikitalk,2394385,5021410,1,3,620.844833,0,100000,408.853934,100367,0,0,100367,2021-08-10.21:18:51
wiki_talk_en,2987536,24981163,1,3,889.660570,0,100000,804.791678,100017,0,0,100017,2021-08-10.21:18:59
ba-1m-8m,1000000,7999964,1,2,783.958455,100000,0,1932.178896,21949,111556,1843539,0,2021-08-10.21:19:28
baidu,2141301,17794839,1,2,1731.619522,100000,0,437.673574,98805,119331,9769847,0,2021-08-10.21:20:03
dbpedia,3966925,13820853,1,2,2212.691330,100000,0,402.441962,101116,117374,1872904,0,2021-08-10.21:20:36
er-1m-8m,1000000,8000000,1,2,1030.955586,100000,0,654.813624,39660,55247,664834,0,2021-08-10.21:21:08
livej,4847571,68993773,1,2,5172.745383,100000,0,628.296667,113111,141112,11139703,0,2021-08-10.21:22:23
patent,6009555,16518948,1,2,3669.907917,100000,0,1343.766633,105724,155202,2389247,0,2021-08-10.21:23:21
pokec,1632804,30622564,1,2,2037.254840,100000,0,721.208041,84662,125373,6029961,0,2021-08-10.21:24:00
rmat-1m-8m,999760,7810950,1,2,596.660185,100000,0,363.380405,99581,119413,28254440,0,2021-08-10.21:24:08
ssca2,1048577,157877986,1,2,1398.956723,100000,0,2662.291057,1594340,1654718,125522863,0,2021-08-10.21:25:40
wiki-links,5710993,130160392,1,2,9321.069348,100000,0,1707.457438,189215,205866,57596976,0,2021-08-10.21:28:43
wikitalk,2394385,5021410,1,2,813.917417,100000,0,368.495416,100674,105934,14791971,0,2021-08-10.21:28:48
wiki_talk_en,2987536,24981163,1,2,1311.170537,100000,0,834.875147,100134,105846,21268963,0,2021-08-10.21:28:59
ba-1m-8m,1000000,7999964,1,3,865.278191,100000,0,303.174561,22175,166814,1877444,359989,2021-08-10.21:29:10
baidu,2141301,17794839,1,3,1650.981628,100000,0,264.609286,98642,132707,10145167,811606,2021-08-10.21:29:44
dbpedia,3966925,13820853,1,3,1950.980433,100000,0,156.847096,100799,127505,1820280,1118379,2021-08-10.21:30:58
er-1m-8m,1000000,8000000,1,3,1197.503328,100000,0,100.325490,38967,66260,657006,428257,2021-08-10.21:31:19
livej,4847571,68993773,1,3,5189.704445,100000,0,512.422186,114772,160518,11752358,782414,2021-08-10.21:32:48
patent,6009555,16518948,1,3,3864.216605,100000,0,294.785510,106738,182320,2508138,1016624,2021-08-10.21:34:57
pokec,1632804,30622564,1,3,2348.888568,100000,0,270.337178,85834,146948,5972451,723280,2021-08-10.21:35:32
rmat-1m-8m,999760,7810950,1,3,580.230347,100000,0,452.940857,100767,134213,31102036,635060,2021-08-10.21:35:38
ssca2,1048577,157877986,1,3,2055.202485,100000,0,11578.233349,1591198,1680578,125966624,11971743,2021-08-10.21:37:09
wiki-links,5710993,130160392,1,3,10348.970770,100000,0,5322.737103,183202,212892,55778701,768568,2021-08-10.22:06:04
