model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,date
ba-1m-8m,1000000,7999964,1,3,847.320192,0,100000,44.103260,21936,0,0,21936,2021-08-11.00:25:16
baidu,2141301,17794839,1,3,1683.533342,0,100000,298.942585,98277,0,0,98277,2021-08-11.00:25:49
dbpedia,3966925,13820853,1,3,2008.019312,0,100000,837.982280,101160,0,0,101160,2021-08-11.00:26:56
er-1m-8m,1000000,8000000,1,3,1200.113789,0,100000,50.547793,39508,0,0,39508,2021-08-11.00:27:08
livej,4847571,68993773,1,3,5484.540973,0,100000,239.623083,114584,0,0,114584,2021-08-11.00:28:31
patent,6009555,16518948,1,3,3836.908957,0,100000,101.214045,105429,0,0,105429,2021-08-11.00:29:12
pokec,1632804,30622564,1,3,2128.203228,0,100000,150.560346,87061,0,0,87061,2021-08-11.00:29:44
rmat-1m-8m,999760,7810950,1,3,534.241499,0,100000,430.660900,99554,0,0,99554,2021-08-11.00:29:49
ssca2,1048577,157877986,1,3,2125.553908,0,100000,1252.553277,1597376,0,0,1597376,2021-08-11.00:31:06
wiki-links,5710993,130160392,1,3,10104.172018,0,100000,1188.818377,187934,0,0,187934,2021-08-11.00:33:52
wikitalk,2394385,5021410,1,3,617.973426,0,100000,12090.054368,100630,0,0,100630,2021-08-11.00:34:09
wiki_talk_en,2987536,24981163,1,3,898.480427,0,100000,1065.022517,101306,0,0,101306,2021-08-11.00:34:18
ba-1m-8m,1000000,7999964,1,2,794.734508,100000,0,2059.631638,21999,111606,1840468,0,2021-08-11.00:34:48
baidu,2141301,17794839,1,2,1667.575939,100000,0,566.589856,99141,120192,9938978,0,2021-08-11.00:35:23
dbpedia,3966925,13820853,1,2,2212.093628,100000,0,408.434625,101194,117304,2492165,0,2021-08-11.00:35:50
er-1m-8m,1000000,8000000,1,2,1113.762451,100000,0,1137.961557,39411,54708,657447,0,2021-08-11.00:36:22
livej,4847571,68993773,1,2,5131.306484,100000,0,644.650000,113424,141145,11300163,0,2021-08-11.00:37:38
patent,6009555,16518948,1,2,3628.362704,100000,0,1193.121798,107278,158560,2443146,0,2021-08-11.00:38:36
pokec,1632804,30622564,1,2,2133.766502,100000,0,719.624133,85358,124856,5913111,0,2021-08-11.00:39:15
rmat-1m-8m,999760,7810950,1,2,625.991861,100000,0,385.238858,100577,120671,30542129,0,2021-08-11.00:39:23
ssca2,1048577,157877986,1,2,1398.946653,100000,0,2449.895781,1590480,1650871,125297798,0,2021-08-11.00:40:54
wiki-links,5710993,130160392,1,2,9427.039008,100000,0,1812.826639,188430,205569,55857555,0,2021-08-11.00:43:57
wikitalk,2394385,5021410,1,2,774.262489,100000,0,604.867693,100601,105719,14004795,0,2021-08-11.00:44:03
wiki_talk_en,2987536,24981163,1,2,1282.411562,100000,0,879.959049,101073,106874,25536984,0,2021-08-11.00:44:14
ba-1m-8m,1000000,7999964,1,3,886.722723,100000,0,300.392664,22089,166896,1858027,366733,2021-08-11.00:44:24
baidu,2141301,17794839,1,3,1774.874356,100000,0,264.847348,98237,132610,10104370,813909,2021-08-11.00:44:58
dbpedia,3966925,13820853,1,3,1916.276208,100000,0,152.600841,100757,128062,1813740,1127884,2021-08-11.00:46:12
er-1m-8m,1000000,8000000,1,3,1296.294447,100000,0,102.066066,39143,66381,659082,429866,2021-08-11.00:46:29
livej,4847571,68993773,1,3,5612.071313,100000,0,487.303977,113866,159399,11318585,771391,2021-08-11.00:47:57
patent,6009555,16518948,1,3,4002.523160,100000,0,306.028151,109235,185197,2450240,1041514,2021-08-11.00:50:05
pokec,1632804,30622564,1,3,2294.290410,100000,0,270.653790,86032,146757,5946777,722148,2021-08-11.00:50:46
rmat-1m-8m,999760,7810950,1,3,517.743480,100000,0,433.706228,100512,133235,30557688,638431,2021-08-11.00:50:59
ssca2,1048577,157877986,1,3,2073.738437,100000,0,11733.549016,1595095,1685334,126521899,11952937,2021-08-11.00:52:28
wiki-links,5710993,130160392,1,3,10174.756834,100000,0,5517.759690,187242,217306,54699587,766637,2021-08-11.00:55:28
wikitalk,2394385,5021410,1,3,627.935771,100000,0,319.420523,100555,109200,14195701,1090208,2021-08-11.00:55:33
wiki_talk_en,2987536,24981163,1,3,878.255745,100000,0,524.878724,101208,110995,25836741,942010,2021-08-11.00:56:26
ba-1m-8m,1000000,7999964,1,2,785.725706,0,100000,332.374057,21786,0,0,0,2021-08-11.00:56:53
baidu,2141301,17794839,1,2,1646.184544,0,100000,499.028494,102402,0,0,0,2021-08-11.00:57:28
dbpedia,3966925,13820853,1,2,2181.093645,0,100000,874.607260,101234,0,0,0,2021-08-11.00:58:03
er-1m-8m,1000000,8000000,1,2,977.336423,0,100000,466.100448,39231,0,0,0,2021-08-11.00:58:34
livej,4847571,68993773,1,2,5171.835343,0,100000,437.677197,113035,0,0,0,2021-08-11.00:59:51
patent,6009555,16518948,1,2,3678.675985,0,100000,505.558079,108927,0,0,0,2021-08-11.01:00:47
pokec,1632804,30622564,1,2,2129.212131,0,100000,439.227194,84896,0,0,0,2021-08-11.01:01:27
rmat-1m-8m,999760,7810950,1,2,670.548811,0,100000,455.566368,100595,0,0,0,2021-08-11.01:01:33
ssca2,1048577,157877986,1,2,1409.567162,0,100000,2064.781601,1596603,0,0,0,2021-08-11.01:03:04
wiki-links,5710993,130160392,1,2,8997.159733,0,100000,1302.376616,188890,0,0,0,2021-08-11.01:06:06
wikitalk,2394385,5021410,1,2,791.899818,0,100000,556.233081,100528,0,0,0,2021-08-11.01:06:12
wiki_talk_en,2987536,24981163,1,2,1307.701232,0,100000,803.342558,99920,0,0,0,2021-08-11.01:06:23
ba-1m-8m,1000000,7999964,1,3,899.165407,0,100000,45.012009,21651,0,0,21651,2021-08-11.01:06:29
baidu,2141301,17794839,1,3,1692.472243,0,100000,298.592090,98440,0,0,98440,2021-08-11.01:07:01
dbpedia,3966925,13820853,1,3,1956.209952,0,100000,841.001034,101264,0,0,101264,2021-08-11.01:08:09
er-1m-8m,1000000,8000000,1,3,1234.790928,0,100000,50.810337,39480,0,0,39480,2021-08-11.01:08:21
livej,4847571,68993773,1,3,5609.885431,0,100000,251.209840,114303,0,0,114303,2021-08-11.01:09:45
patent,6009555,16518948,1,3,3795.032754,0,100000,104.335503,107616,0,0,107616,2021-08-11.01:11:46
pokec,1632804,30622564,1,3,2287.773803,0,100000,148.307065,85659,0,0,85659,2021-08-11.01:12:18
rmat-1m-8m,999760,7810950,1,3,507.807101,0,100000,466.048045,100698,0,0,100698,2021-08-11.01:12:27
ssca2,1048577,157877986,1,3,2053.276363,0,100000,1246.831905,1593386,0,0,1593386,2021-08-11.01:13:43
wiki-links,5710993,130160392,1,3,9576.564692,0,100000,1157.217291,186300,0,0,186300,2021-08-11.01:16:28
wikitalk,2394385,5021410,1,3,630.158480,0,100000,20732.163854,99992,0,0,99992,2021-08-11.01:17:01
wiki_talk_en,2987536,24981163,1,3,871.740426,0,100000,977.018012,99936,0,0,99936,2021-08-11.01:17:10
ba-1m-8m,1000000,7999964,1,2,786.724129,100000,0,1808.855127,22091,111744,1860540,0,2021-08-11.01:17:39
baidu,2141301,17794839,1,2,1658.047482,100000,0,440.620223,99318,120487,10023888,0,2021-08-11.01:18:14
dbpedia,3966925,13820853,1,2,2234.516408,100000,0,378.309738,101326,117429,1769414,0,2021-08-11.01:18:48
er-1m-8m,1000000,8000000,1,2,1019.404530,100000,0,608.893539,39510,55188,663178,0,2021-08-11.01:19:21
livej,4847571,68993773,1,2,5242.035155,100000,0,626.420664,111853,139354,10958389,0,2021-08-11.01:20:37
patent,6009555,16518948,1,2,3694.478741,100000,0,1265.857953,106150,155777,2382491,0,2021-08-11.01:21:35
pokec,1632804,30622564,1,2,2051.611028,100000,0,618.675479,87368,126746,6121127,0,2021-08-11.01:22:15
rmat-1m-8m,999760,7810950,1,2,626.567657,100000,0,369.058230,99590,119324,28386141,0,2021-08-11.01:22:22
ssca2,1048577,157877986,1,2,1423.477276,100000,0,2453.548922,1591568,1653749,125633787,0,2021-08-11.01:23:54
wiki-links,5710993,130160392,1,2,9469.699799,100000,0,1747.312100,190567,207374,57716244,0,2021-08-11.01:26:57
wikitalk,2394385,5021410,1,2,782.525740,100000,0,604.858703,100614,105496,14105207,0,2021-08-11.01:27:03
wiki_talk_en,2987536,24981163,1,2,1282.535468,100000,0,893.931022,101188,107119,25646790,0,2021-08-11.01:27:14
ba-1m-8m,1000000,7999964,1,3,824.651099,100000,0,302.442461,21723,167440,1861254,359372,2021-08-11.01:27:25
baidu,2141301,17794839,1,3,1644.201302,100000,0,392.217680,103055,137242,14519634,821909,2021-08-11.01:27:59
dbpedia,3966925,13820853,1,3,1931.007489,100000,0,150.540562,100368,127174,1833443,1114834,2021-08-11.01:29:14
er-1m-8m,1000000,8000000,1,3,1184.460198,100000,0,102.949059,39597,67036,667164,441021,2021-08-11.01:29:27
livej,4847571,68993773,1,3,5139.197758,100000,0,518.406285,113952,160687,11856889,783088,2021-08-11.01:30:39
patent,6009555,16518948,1,3,3900.458393,100000,0,285.323361,105508,181467,2355187,1019389,2021-08-11.01:32:47
pokec,1632804,30622564,1,3,2482.629276,100000,0,279.345321,85977,147673,6131698,716148,2021-08-11.01:33:23
rmat-1m-8m,999760,7810950,1,3,522.632202,100000,0,465.265149,100594,133805,30938240,634066,2021-08-11.01:33:36
ssca2,1048577,157877986,1,3,2046.385285,100000,0,11652.147025,1587441,1674613,125546892,11898404,2021-08-11.01:35:06
wiki-links,5710993,130160392,1,3,10499.668754,100000,0,5456.241576,192473,221248,58003136,786848,2021-08-11.01:38:29
wikitalk,2394385,5021410,1,3,598.573314,100000,0,334.328024,100742,109429,14855268,1092977,2021-08-11.01:39:10
wiki_talk_en,2987536,24981163,1,3,865.868937,100000,0,527.394508,101030,110560,25736502,945444,2021-08-11.01:39:29
ba-1m-8m,1000000,7999964,1,2,773.787015,0,100000,331.648439,21957,0,0,0,2021-08-11.01:39:55
baidu,2141301,17794839,1,2,1655.130893,0,100000,437.073372,98192,0,0,0,2021-08-11.01:40:30
dbpedia,3966925,13820853,1,2,2224.461189,0,100000,879.389691,101164,0,0,0,2021-08-11.01:41:04
er-1m-8m,1000000,8000000,1,2,986.060969,0,100000,475.733819,39921,0,0,0,2021-08-11.01:41:36
livej,4847571,68993773,1,2,5195.240471,0,100000,428.581667,111163,0,0,0,2021-08-11.01:42:51
patent,6009555,16518948,1,2,3758.035830,0,100000,478.228307,104540,0,0,0,2021-08-11.01:43:47
pokec,1632804,30622564,1,2,2160.661350,0,100000,419.933882,86398,0,0,0,2021-08-11.01:44:27
rmat-1m-8m,999760,7810950,1,2,599.671989,0,100000,423.691038,100360,0,0,0,2021-08-11.01:44:35
ssca2,1048577,157877986,1,2,1344.643980,0,100000,2060.388663,1590929,0,0,0,2021-08-11.01:46:05
wiki-links,5710993,130160392,1,2,8521.345788,0,100000,1171.698784,186042,0,0,0,2021-08-11.01:49:05
wikitalk,2394385,5021410,1,2,784.953436,0,100000,533.103962,100569,0,0,0,2021-08-11.01:49:10
wiki_talk_en,2987536,24981163,1,2,1345.798647,0,100000,803.524617,100029,0,0,0,2021-08-11.01:49:21
ba-1m-8m,1000000,7999964,1,3,842.333928,0,100000,44.498351,21988,0,0,21988,2021-08-11.01:49:30
baidu,2141301,17794839,1,3,1663.502637,0,100000,304.049815,99640,0,0,99640,2021-08-11.01:50:03
dbpedia,3966925,13820853,1,3,1928.044851,0,100000,812.544344,100918,0,0,100918,2021-08-11.01:51:11
er-1m-8m,1000000,8000000,1,3,1292.652594,0,100000,50.245369,39414,0,0,39414,2021-08-11.01:51:27
livej,4847571,68993773,1,3,5368.761638,0,100000,276.672611,113734,0,0,113734,2021-08-11.01:52:50
patent,6009555,16518948,1,3,3972.725077,0,100000,101.969331,107037,0,0,107037,2021-08-11.01:54:53
pokec,1632804,30622564,1,3,2360.613406,0,100000,149.891521,86587,0,0,86587,2021-08-11.01:55:25
rmat-1m-8m,999760,7810950,1,3,512.667932,0,100000,463.793188,100581,0,0,100581,2021-08-11.01:55:34
ssca2,1048577,157877986,1,3,2074.884277,0,100000,4663.785009,1594020,0,0,1594020,2021-08-11.01:56:55
wiki-links,5710993,130160392,1,3,10082.747560,0,100000,1173.199602,190668,0,0,190668,2021-08-11.01:59:42
wikitalk,2394385,5021410,1,3,604.407479,0,100000,411.040053,100613,0,0,100613,2021-08-11.02:00:00
wiki_talk_en,2987536,24981163,1,3,892.658037,0,100000,43049.527717,101212,0,0,101212,2021-08-11.02:00:51
ba-1m-8m,1000000,7999964,1,2,770.519885,100000,0,1805.772778,22018,112338,1870886,0,2021-08-11.02:01:21
baidu,2141301,17794839,1,2,1670.213192,100000,0,443.060045,98708,120103,10195249,0,2021-08-11.02:01:56
dbpedia,3966925,13820853,1,2,2170.824170,100000,0,407.801303,101575,117690,1713218,0,2021-08-11.02:02:23
er-1m-8m,1000000,8000000,1,2,1045.822849,100000,0,712.697172,39984,55756,670692,0,2021-08-11.02:02:54
livej,4847571,68993773,1,2,5238.996830,100000,0,626.677698,113444,140313,10937996,0,2021-08-11.02:04:10
patent,6009555,16518948,1,2,3670.404955,100000,0,1371.084267,107039,157675,2398364,0,2021-08-11.02:05:07
pokec,1632804,30622564,1,2,2092.117969,100000,0,652.512185,86631,126643,6174204,0,2021-08-11.02:05:47
rmat-1m-8m,999760,7810950,1,2,593.158231,100000,0,379.774405,100512,120396,30386078,0,2021-08-11.02:05:54
ssca2,1048577,157877986,1,2,1378.921011,100000,0,2478.118943,1594125,1655667,125662238,0,2021-08-11.02:07:26
wiki-links,5710993,130160392,1,2,9307.749661,100000,0,1580.350891,183994,199611,52592374,0,2021-08-11.02:10:29
wikitalk,2394385,5021410,1,2,780.480375,100000,0,567.529951,100497,105550,14073894,0,2021-08-11.02:10:34
wiki_talk_en,2987536,24981163,1,2,1363.735109,100000,0,792.773214,100120,105627,20926475,0,2021-08-11.02:10:45
ba-1m-8m,1000000,7999964,1,3,842.707245,100000,0,302.362350,21812,167214,1863643,356139,2021-08-11.02:10:56
baidu,2141301,17794839,1,3,1685.031077,100000,0,270.682396,99325,133684,10230725,814318,2021-08-11.02:11:31
dbpedia,3966925,13820853,1,3,1939.242614,100000,0,150.857758,101301,127457,1698199,1137637,2021-08-11.02:11:54
er-1m-8m,1000000,8000000,1,3,1204.587473,100000,0,101.806003,39622,66784,664796,429811,2021-08-11.02:12:08
livej,4847571,68993773,1,3,5384.845511,100000,0,506.253826,112927,159117,11242925,776619,2021-08-11.02:13:35
patent,6009555,16518948,1,3,3796.536992,100000,0,270.470054,107326,182461,2407423,1021814,2021-08-11.02:15:42
pokec,1632804,30622564,1,3,2372.862071,100000,0,274.124786,86272,147299,6011225,720415,2021-08-11.02:16:17
rmat-1m-8m,999760,7810950,1,3,582.924080,100000,0,386.610911,99646,133053,28589485,633925,2021-08-11.02:16:23
ssca2,1048577,157877986,1,3,2028.247028,100000,0,11610.788879,1589396,1682841,126154540,11969316,2021-08-11.02:17:51
wiki-links,5710993,130160392,1,3,9818.413842,100000,0,5878.416507,184771,218685,55886422,764795,2021-08-11.02:20:54
wikitalk,2394385,5021410,1,3,596.645256,100000,0,331.611173,100689,109537,14680072,1066985,2021-08-11.02:20:59
wiki_talk_en,2987536,24981163,1,3,887.902724,100000,0,469.323401,100025,109703,21823298,948825,2021-08-11.02:21:09
ba-1m-8m,1000000,7999964,1,2,776.796992,0,100000,326.983927,21825,0,0,0,2021-08-11.02:21:36
baidu,2141301,17794839,1,2,1680.020996,0,100000,499.224215,103216,0,0,0,2021-08-11.02:22:11
dbpedia,3966925,13820853,1,2,2219.998261,0,100000,881.189809,101103,0,0,0,2021-08-11.02:22:46
er-1m-8m,1000000,8000000,1,2,1021.683422,0,100000,471.205948,39194,0,0,0,2021-08-11.02:23:18
livej,4847571,68993773,1,2,5101.461018,0,100000,429.267582,111803,0,0,0,2021-08-11.02:24:33
patent,6009555,16518948,1,2,3664.445166,0,100000,493.696879,107502,0,0,0,2021-08-11.02:25:31
pokec,1632804,30622564,1,2,2001.773675,0,100000,455.941368,87170,0,0,0,2021-08-11.02:26:10
rmat-1m-8m,999760,7810950,1,2,544.266850,0,100000,429.038029,100775,0,0,0,2021-08-11.02:26:16
ssca2,1048577,157877986,1,2,1376.946381,0,100000,2049.874244,1595492,0,0,0,2021-08-11.02:27:47
wiki-links,5710993,130160392,1,2,9494.804757,0,100000,1296.395740,185862,0,0,0,2021-08-11.02:30:50
wikitalk,2394385,5021410,1,2,815.672206,0,100000,542.244094,100689,0,0,0,2021-08-11.02:30:55
wiki_talk_en,2987536,24981163,1,2,1286.521798,0,100000,779.735764,100029,0,0,0,2021-08-11.02:31:06
ba-1m-8m,1000000,7999964,1,3,787.608134,0,100000,44.205868,22106,0,0,22106,2021-08-11.02:31:15
baidu,2141301,17794839,1,3,1686.990050,0,100000,297.751376,98592,0,0,98592,2021-08-11.02:31:47
dbpedia,3966925,13820853,1,3,1895.878149,0,100000,810.652499,100655,0,0,100655,2021-08-11.02:32:55
er-1m-8m,1000000,8000000,1,3,1239.678630,0,100000,50.600840,39044,0,0,39044,2021-08-11.02:33:07
livej,4847571,68993773,1,3,5285.026790,0,100000,231.104843,112737,0,0,112737,2021-08-11.02:34:29
patent,6009555,16518948,1,3,3925.287615,0,100000,103.213188,107715,0,0,107715,2021-08-11.02:36:31
pokec,1632804,30622564,1,3,2247.001526,0,100000,148.195939,86432,0,0,86432,2021-08-11.02:37:04
rmat-1m-8m,999760,7810950,1,3,555.713635,0,100000,465.907516,100644,0,0,100644,2021-08-11.02:37:09
ssca2,1048577,157877986,1,3,2093.627822,0,100000,4423.259637,1593438,0,0,1593438,2021-08-11.02:38:29
wiki-links,5710993,130160392,1,3,10174.309150,0,100000,1152.904576,186872,0,0,186872,2021-08-11.02:41:14
wikitalk,2394385,5021410,1,3,605.989849,0,100000,384.968814,99979,0,0,99979,2021-08-11.02:41:19
wiki_talk_en,2987536,24981163,1,3,890.744207,0,100000,33051.438427,99944,0,0,99944,2021-08-11.02:42:00
ba-1m-8m,1000000,7999964,1,2,776.786796,100000,0,1793.039309,22121,112054,1864470,0,2021-08-11.02:42:28
baidu,2141301,17794839,1,2,1695.856606,100000,0,436.119120,99045,119767,9912927,0,2021-08-11.02:43:03
dbpedia,3966925,13820853,1,2,2199.742257,100000,0,388.668705,101367,117630,1767520,0,2021-08-11.02:43:31
er-1m-8m,1000000,8000000,1,2,990.108947,100000,0,560.086099,39818,55676,670698,0,2021-08-11.02:44:03
livej,4847571,68993773,1,2,5291.962551,100000,0,625.979940,113014,140310,10975980,0,2021-08-11.02:45:19
patent,6009555,16518948,1,2,3706.852078,100000,0,1335.575576,106418,156820,2388683,0,2021-08-11.02:46:16
pokec,1632804,30622564,1,2,1920.196982,100000,0,737.616725,85807,126261,6118634,0,2021-08-11.02:46:56
rmat-1m-8m,999760,7810950,1,2,594.159346,100000,0,385.229396,100289,119960,30219333,0,2021-08-11.02:47:03
ssca2,1048577,157877986,1,2,1399.600488,100000,0,2436.067936,1587276,1649140,125145916,0,2021-08-11.02:48:35
wiki-links,5710993,130160392,1,2,9353.928545,100000,0,1730.624587,183748,200129,53774550,0,2021-08-11.02:51:39
wikitalk,2394385,5021410,1,2,791.852894,100000,0,583.435237,100555,105795,14432061,0,2021-08-11.02:51:44
wiki_talk_en,2987536,24981163,1,2,1292.642191,100000,0,843.033589,100138,105979,21483641,0,2021-08-11.02:51:55
ba-1m-8m,1000000,7999964,1,3,903.754808,100000,0,300.477296,22073,167145,1874481,361617,2021-08-11.02:52:06
baidu,2141301,17794839,1,3,1619.128307,100000,0,382.599482,103150,137269,14573187,815706,2021-08-11.02:52:41
dbpedia,3966925,13820853,1,3,2012.694680,100000,0,151.867073,101097,128338,1814460,1112266,2021-08-11.02:53:55
er-1m-8m,1000000,8000000,1,3,1126.228149,100000,0,102.410053,39638,66944,665362,430626,2021-08-11.02:54:08
livej,4847571,68993773,1,3,5128.722415,100000,0,515.942963,113512,160228,11676462,786024,2021-08-11.02:55:20
patent,6009555,16518948,1,3,3729.893156,100000,0,310.119855,107194,182622,2434746,1023972,2021-08-11.02:57:27
pokec,1632804,30622564,1,3,2249.728768,100000,0,271.473515,86045,148528,6101823,720460,2021-08-11.02:58:02
rmat-1m-8m,999760,7810950,1,3,502.554846,100000,0,463.083801,100589,134093,31299047,636706,2021-08-11.02:58:15
ssca2,1048577,157877986,1,3,2115.722453,100000,0,11755.769039,1594241,1684925,126189497,12023599,2021-08-11.02:59:44
wiki-links,5710993,130160392,1,3,10273.210949,100000,0,5254.158667,188412,215935,56116261,760684,2021-08-11.03:03:07
wikitalk,2394385,5021410,1,3,596.944055,100000,0,311.597825,100694,109542,15047469,1077262,2021-08-11.03:03:35
wiki_talk_en,2987536,24981163,1,3,885.826296,100000,0,545.902756,101094,110543,25268138,953557,2021-08-11.03:04:01
ba-1m-8m,1000000,7999964,1,2,778.606653,0,100000,329.534873,22215,0,0,0,2021-08-11.03:04:28
baidu,2141301,17794839,1,2,1646.404496,0,100000,442.904572,98549,0,0,0,2021-08-11.03:05:04
dbpedia,3966925,13820853,1,2,2185.379183,0,100000,859.850413,100686,0,0,0,2021-08-11.03:05:39
er-1m-8m,1000000,8000000,1,2,989.259749,0,100000,507.354963,39700,0,0,0,2021-08-11.03:06:10
livej,4847571,68993773,1,2,5081.869428,0,100000,436.483548,112746,0,0,0,2021-08-11.03:07:26
patent,6009555,16518948,1,2,3628.800259,0,100000,479.726179,106392,0,0,0,2021-08-11.03:08:23
pokec,1632804,30622564,1,2,2032.187220,0,100000,456.905007,85528,0,0,0,2021-08-11.03:09:02
rmat-1m-8m,999760,7810950,1,2,563.136502,0,100000,427.504740,100538,0,0,0,2021-08-11.03:09:09
ssca2,1048577,157877986,1,2,1383.599267,0,100000,2075.428249,1593545,0,0,0,2021-08-11.03:10:41
wiki-links,5710993,130160392,1,2,9378.218237,0,100000,1351.559008,186037,0,0,0,2021-08-11.03:13:45
wikitalk,2394385,5021410,1,2,803.336924,0,100000,559.386443,99836,0,0,0,2021-08-11.03:13:51
wiki_talk_en,2987536,24981163,1,2,1281.971638,0,100000,801.211487,100037,0,0,0,2021-08-11.03:14:02
ba-1m-8m,1000000,7999964,1,3,901.325870,0,100000,44.213364,22203,0,0,22203,2021-08-11.03:14:11
baidu,2141301,17794839,1,3,1616.929721,0,100000,295.050958,98571,0,0,98571,2021-08-11.03:14:44
dbpedia,3966925,13820853,1,3,1938.069262,0,100000,993.775581,100861,0,0,100861,2021-08-11.03:15:51
er-1m-8m,1000000,8000000,1,3,1190.458348,0,100000,51.107240,39709,0,0,39709,2021-08-11.03:16:03
livej,4847571,68993773,1,3,5463.554497,0,100000,225.974992,111934,0,0,111934,2021-08-11.03:17:25
patent,6009555,16518948,1,3,3808.272421,0,100000,101.859001,106077,0,0,106077,2021-08-11.03:19:26
pokec,1632804,30622564,1,3,2400.746218,0,100000,148.353114,86095,0,0,86095,2021-08-11.03:19:59
rmat-1m-8m,999760,7810950,1,3,535.200671,0,100000,468.183455,100687,0,0,100687,2021-08-11.03:20:04
ssca2,1048577,157877986,1,3,2161.007640,0,100000,1256.506748,1601613,0,0,1601613,2021-08-11.03:21:20
wiki-links,5710993,130160392,1,3,10041.089333,0,100000,1175.201275,185834,0,0,185834,2021-08-11.03:24:05
wikitalk,2394385,5021410,1,3,615.482220,0,100000,12835.767252,100749,0,0,100749,2021-08-11.03:24:22
wiki_talk_en,2987536,24981163,1,3,887.492028,0,100000,1027.347149,101257,0,0,101257,2021-08-11.03:24:31
