model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
ba-1m-8m,1000000,7999964,1,2,721.229755,100000,0,1335.837198,22064,111635,1842394,0,-1,2021-09-20.22:33:05
baidu,2141301,17794839,1,2,1360.945417,100000,0,396.223666,98224,119668,10188064,0,-1,2021-09-20.22:33:32
dbpedia,3966925,13820853,1,2,1646.986301,100000,0,331.853032,101029,117535,1838609,0,-1,2021-09-20.22:33:51
er-1m-8m,1000000,8000000,1,2,936.416492,100000,0,338.314425,39643,55341,665759,0,-1,2021-09-20.22:34:10
livej,4847571,68993773,1,2,4839.093771,100000,0,512.557057,113048,140853,11204521,0,-1,2021-09-20.22:35:08
patent,6009555,16518948,1,2,3424.434622,100000,0,677.732549,105771,156483,2394158,0,-1,2021-09-20.22:35:49
pokec,1632804,30622564,1,2,1788.149777,100000,0,526.026429,85813,125097,5934174,0,-1,2021-09-20.22:36:18
rmat-1m-8m,999760,7810950,1,2,419.724443,100000,0,369.107304,100366,120433,30756309,0,-1,2021-09-20.22:36:23
roadNetCA,1971281,5533214,1,2,600.221793,100000,0,462.384349,60770,201919,611218,0,-1,2021-09-20.22:36:30
ssca2,1048577,157877986,1,2,1016.671487,100000,0,2179.617795,1583054,1644676,124995572,0,-1,2021-09-20.22:37:34
wiki-links,5710993,130160392,1,2,9327.839696,100000,0,1156.105350,189292,206531,63782647,0,-1,2021-09-20.22:39:57
wikitalk,2394385,5021410,1,2,537.412664,100000,0,299.813071,100587,105789,14339379,0,-1,2021-09-20.22:40:01
wiki_talk_en,2987536,24981163,1,2,762.418252,100000,0,427.531852,100032,105660,21217655,0,-1,2021-09-20.22:40:10
ba-1m-8m,1000000,7999964,1,3,560.949174,100000,0,161.855173,22160,166264,1862159,367427,-1,2021-09-20.22:40:16
baidu,2141301,17794839,1,3,1305.666743,100000,0,214.616464,98300,132413,10066250,810339,-1,2021-09-20.22:40:41
dbpedia,3966925,13820853,1,3,1518.610541,100000,0,133.768879,100985,128464,1889283,1131867,-1,2021-09-20.22:40:57
er-1m-8m,1000000,8000000,1,3,894.399556,100000,0,84.369143,38755,65413,648730,429214,-1,2021-09-20.22:41:06
livej,4847571,68993773,1,3,4669.182515,100000,0,247.704863,112299,157635,11259908,769075,-1,2021-09-20.22:41:57
patent,6009555,16518948,1,3,3347.103406,100000,0,203.685827,107812,183365,2536760,1019857,-1,2021-09-20.22:42:31
pokec,1632804,30622564,1,3,1762.082514,100000,0,201.817899,86116,147759,6049590,722849,-1,2021-09-20.22:42:55
rmat-1m-8m,999760,7810950,1,3,386.596452,100000,0,266.914969,99510,132744,28495140,638194,-1,2021-09-20.22:43:00
roadNetCA,1971281,5533214,1,3,511.211201,100000,0,102.456336,61194,255272,625819,923992,-1,2021-09-20.22:43:04
