model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
ba-1m-8m,1000000,7999964,1,13,556.255486,100000,0,234.043826,22169,156375,1711731,104530,4,-1,2021-10-10.15:21:31
baidu,2141301,17794839,1,13,1287.536198,100000,0,267.343036,103224,127719,12499728,117164,5,-1,2021-10-10.15:21:55
dbpedia,3966925,13820853,1,13,1512.033962,100000,0,149.562430,100570,124615,1495278,114833,3,-1,2021-10-10.15:22:11
er-1m-8m,1000000,8000000,1,13,866.149848,100000,0,119.607258,39510,62720,631097,53556,5,-1,2021-10-10.15:22:20
livej,4847571,68993773,1,13,4626.696415,100000,0,303.766547,113227,153761,10841714,137137,4,-1,2021-10-10.15:23:10
patent,6009555,16518948,1,13,3256.553392,100000,0,254.168640,108250,173738,2294168,150209,3,-1,2021-10-10.15:23:42
pokec,1632804,30622564,1,13,1717.897869,100000,0,222.406498,86005,133781,5233523,115131,4,-1,2021-10-10.15:24:06
rmat-1m-8m,999760,7810950,1,13,380.447912,100000,0,260.315851,99503,117942,23441922,109649,9,-1,2021-10-10.15:24:11
roadNetCA,1971281,5533214,1,13,510.347695,100000,0,155.351154,61600,231562,563492,187250,4,-1,2021-10-10.15:24:15
ssca2,1048577,157877986,1,13,951.013924,100000,0,1866.395558,1590911,1594753,120722357,2362851,5,-1,2021-10-10.15:25:10
wiki-links,5710993,130160392,1,13,9044.263468,100000,0,907.599571,188706,211804,53970970,201977,6,-1,2021-10-10.15:27:20
wikitalk,2394385,5021410,1,13,422.809473,100000,0,189.702845,100598,105590,12774986,103359,10,-1,2021-10-10.15:27:24
wiki_talk_en,2987536,24981163,1,13,624.237883,100000,0,317.022035,101108,106198,22822995,103885,9,-1,2021-10-10.15:27:31
ba-1m-8m,1000000,7999964,1,2,632.255115,100000,0,1216.046020,22169,111826,1856147,0,-1,-1,2021-10-10.15:27:48
baidu,2141301,17794839,1,2,1360.067827,100000,0,446.876492,103224,124604,14516134,0,-1,-1,2021-10-10.15:28:14
dbpedia,3966925,13820853,1,2,1626.304449,100000,0,320.611007,100570,117176,1633197,0,-1,-1,2021-10-10.15:28:33
er-1m-8m,1000000,8000000,1,2,927.911963,100000,0,328.982106,39510,55197,664169,0,-1,-1,2021-10-10.15:28:52
livej,4847571,68993773,1,2,4705.627098,100000,0,506.392631,113227,141218,11470203,0,-1,-1,2021-10-10.15:29:47
patent,6009555,16518948,1,2,3378.853170,100000,0,679.598715,108250,158743,2491086,0,-1,-1,2021-10-10.15:30:28
pokec,1632804,30622564,1,2,1775.869620,100000,0,523.420298,86005,126140,6073015,0,-1,-1,2021-10-10.15:30:56
rmat-1m-8m,999760,7810950,1,2,416.058336,100000,0,338.420620,99503,119821,28592004,0,-1,-1,2021-10-10.15:31:01
roadNetCA,1971281,5533214,1,2,598.620903,100000,0,455.593724,61600,203582,616519,0,-1,-1,2021-10-10.15:31:07
ssca2,1048577,157877986,1,2,1015.471967,100000,0,2180.256395,1590911,1652979,125454988,0,-1,-1,2021-10-10.15:32:10
wiki-links,5710993,130160392,1,2,9236.830197,100000,0,1058.350746,188706,206642,57364389,0,-1,-1,2021-10-10.15:34:30
wikitalk,2394385,5021410,1,2,534.853413,100000,0,306.889653,100598,106032,14884718,0,-1,-1,2021-10-10.15:34:34
wiki_talk_en,2987536,24981163,1,2,749.800395,100000,0,458.188718,101108,106983,25543540,0,-1,-1,2021-10-10.15:34:42
ba-1m-8m,1000000,7999964,1,3,543.488120,0,100000,34.839287,22169,0,155486,22169,-1,-1,2021-10-10.15:34:48
baidu,2141301,17794839,1,3,1290.536134,0,100000,326.120860,103224,0,10444020,103224,-1,-1,2021-10-10.15:35:12
dbpedia,3966925,13820853,1,3,1504.080063,0,100000,565.450789,100570,0,939013,100570,-1,-1,2021-10-10.15:35:29
er-1m-8m,1000000,8000000,1,3,863.790116,0,100000,39.739262,39510,0,435368,39510,-1,-1,2021-10-10.15:35:38
livej,4847571,68993773,1,3,4641.310188,0,100000,193.324211,113227,0,8789288,113227,-1,-1,2021-10-10.15:36:27
patent,6009555,16518948,1,3,3250.628681,0,100000,85.424508,108250,0,1528766,108250,-1,-1,2021-10-10.15:37:00
pokec,1632804,30622564,1,3,1734.176223,0,100000,119.067851,86005,0,3446772,86005,-1,-1,2021-10-10.15:37:23
rmat-1m-8m,999760,7810950,1,3,382.983328,0,100000,364.032060,99503,0,20375246,99503,-1,-1,2021-10-10.15:37:28
roadNetCA,1971281,5533214,1,3,519.088095,0,100000,22.987045,61600,0,96740,61600,-1,-1,2021-10-10.15:37:32
ssca2,1048577,157877986,1,3,940.749472,0,100000,1069.772607,1590911,0,120409895,1590911,-1,-1,2021-10-10.15:38:26
wiki-links,5710993,130160392,1,3,9056.993236,0,100000,1001.890085,188706,0,49772227,188706,-1,-1,2021-10-10.15:40:36
wikitalk,2394385,5021410,1,3,423.712729,0,100000,340.975494,100598,0,11262183,100598,-1,-1,2021-10-10.15:40:39
wiki_talk_en,2987536,24981163,1,3,629.173087,0,100000,726.579710,101108,0,21074639,101108,-1,-1,2021-10-10.15:40:47
ba-1m-8m,1000000,7999964,1,2,631.962899,0,100000,259.780061,22169,0,310972,0,-1,-1,2021-10-10.15:41:02
baidu,2141301,17794839,1,2,1353.629329,0,100000,430.179507,103224,0,20888040,0,-1,-1,2021-10-10.15:41:28
dbpedia,3966925,13820853,1,2,1623.120571,0,100000,841.505022,100570,0,1878026,0,-1,-1,2021-10-10.15:41:48
er-1m-8m,1000000,8000000,1,2,931.572859,0,100000,384.662622,39510,0,870736,0,-1,-1,2021-10-10.15:42:06
livej,4847571,68993773,1,2,4715.938733,0,100000,360.778448,113227,0,17578576,0,-1,-1,2021-10-10.15:43:02
patent,6009555,16518948,1,2,3398.314134,0,100000,377.402436,108250,0,3057532,0,-1,-1,2021-10-10.15:43:42
pokec,1632804,30622564,1,2,1788.481167,0,100000,343.875040,86005,0,6893544,0,-1,-1,2021-10-10.15:44:10
